totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
51379779846.0,1090763058.0,0,587182728.0,-4247506441.0,-4247506441.0,4239820828.0,41408597131.0,306953867.0,9971182715.0,41408597131.0,0,557823591.0,37948792.0,40553344.0,2871572000.0,0,2017,1
51379779846.0,1090763058.0,0,587182728.0,-4247506441.0,-4247506441.0,4239820828.0,41408597131.0,306953867.0,9971182715.0,41408597131.0,0,557823591.0,37948792.0,40553344.0,2871572000.0,0,2017,2
51379779846.0,1090763058.0,0,587182728.0,-4247506441.0,-4247506441.0,4239820828.0,41408597131.0,306953867.0,9971182715.0,41408597131.0,0,557823591.0,37948792.0,40553344.0,2871572000.0,0,2017,3
43821285845.0,886782082.0,0,587182728.0,-4247506441.0,-4247506441.0,2460725085.0,35614898049.0,306953867.0,8206387796.0,35614898049.0,0,557823591.0,37948792.0,40553344.0,540000000.0,0,2017,4
43821285845.0,886782082.0,0,587182728.0,-4247506441.0,-4247506441.0,2460725085.0,35614898049.0,306953867.0,8206387796.0,35614898049.0,0,557823591.0,37948792.0,40553344.0,540000000.0,0,2018,1
43821285845.0,886782082.0,0,587182728.0,-4247506441.0,-4247506441.0,2460725085.0,35614898049.0,306953867.0,8206387796.0,35614898049.0,0,557823591.0,37948792.0,40553344.0,540000000.0,0,2018,2
43821285845.0,886782082.0,0,587182728.0,-4247506441.0,-4247506441.0,2460725085.0,35614898049.0,306953867.0,8206387796.0,35614898049.0,0,557823591.0,37948792.0,40553344.0,540000000.0,0,2018,3
39334655105.0,701420926.0,0,587182728.0,-4247506441.0,-4247506441.0,282679091.0,34706127535.0,306953867.0,4628527570.0,34706127535.0,0,557823591.0,37948792.0,40553344.0,310000000.0,0,2018,4
39334655105.0,701420926.0,0,587182728.0,-4247506441.0,-4247506441.0,282679091.0,34706127535.0,306953867.0,4628527570.0,34706127535.0,0,557823591.0,37948792.0,40553344.0,310000000.0,0,2019,1
39334655105.0,701420926.0,0,587182728.0,-4247506441.0,-4247506441.0,282679091.0,34706127535.0,306953867.0,4628527570.0,34706127535.0,0,557823591.0,37948792.0,40553344.0,310000000.0,0,2019,2
39334655105.0,701420926.0,0,587182728.0,-4247506441.0,-4247506441.0,282679091.0,34706127535.0,306953867.0,4628527570.0,34706127535.0,0,557823591.0,37948792.0,40553344.0,310000000.0,0,2019,3
36855299893.0,540200000.0,0,587182728.0,-4247506441.0,-4247506441.0,282679091.0,30514838065.0,306953867.0,6340461828.0,30514838065.0,0,557823591.0,37948792.0,40553344.0,0,0,2019,4
36855299893.0,540200000.0,0,587182728.0,-4247506441.0,-4247506441.0,282679091.0,30514838065.0,306953867.0,6340461828.0,30514838065.0,0,557823591.0,37948792.0,40553344.0,0,0,2020,1
36855299893.0,540200000.0,0,587182728.0,-4247506441.0,-4247506441.0,282679091.0,30514838065.0,306953867.0,6340461828.0,30514838065.0,0,557823591.0,37948792.0,40553344.0,0,0,2020,2
36855299893.0,540200000.0,0,587182728.0,-4247506441.0,-4247506441.0,282679091.0,30514838065.0,306953867.0,6340461828.0,30514838065.0,0,557823591.0,37948792.0,40553344.0,0,0,2020,3
31674159870.0,0,0,587182728.0,-4247506441.0,-4247506441.0,282679091.0,26976277677.0,306953867.0,4697882193.0,26976277677.0,0,557823591.0,37948792.0,40553344.0,0,0,2020,4
31674159870.0,0,0,587182728.0,-4247506441.0,-4247506441.0,282679091.0,26976277677.0,306953867.0,4697882193.0,26976277677.0,0,557823591.0,37948792.0,40553344.0,0,0,2021,1
31674159870.0,0,0,587182728.0,-4247506441.0,-4247506441.0,282679091.0,26976277677.0,306953867.0,4697882193.0,26976277677.0,0,557823591.0,37948792.0,40553344.0,0,0,2021,2
30632651269.0,0,0,0,-4247506441.0,639158054.0,282679091.0,22214908444.0,306953867.0,8417742825.0,22214908444.0,0,0,37948792.0,0,0,0,2021,3
33902558927.0,0,0,0,-4247506441.0,4122266065.0,282679091.0,22001708091.0,306953867.0,11900850836.0,22001708091.0,0,0,37948792.0,0,0,0,2021,4
34542279690.0,0,0,0,-52341621.0,-52341621.0,0,21785775701.0,1107889346.0,12756503989.0,21785775701.0,0,0,0,10141496.0,0,0,2022,1
34542279690.0,0,0,0,-52341621.0,-52341621.0,0,21785775701.0,1107889346.0,12756503989.0,21785775701.0,0,0,0,10141496.0,0,0,2022,2
34542279690.0,0,0,0,-52341621.0,-52341621.0,0,21785775701.0,1107889346.0,12756503989.0,21785775701.0,0,0,0,10141496.0,0,0,2022,3
34542279690.0,0,0,0,-52341621.0,-52341621.0,0,21785775701.0,1107889346.0,12756503989.0,21785775701.0,0,0,0,10141496.0,0,0,2022,4
