totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
758347081463.0,321264777000.0,8515678999.0,89695378140.0,46155709286.0,44230390232.0,11063340974.0,10273367109.0,8149917197.0,748073714354.0,10273367109.0,0,34799321841.0,7324285092.0,0,0,0,2017,1
824797799324.0,357897660215.0,8459648998.0,111697464982.0,64830456338.0,61573571483.0,12021085807.0,49421755487.0,14299978811.0,775376043837.0,49421755487.0,0,38815695203.0,7589077144.0,0,0,0,2017,2
812591925663.0,393333346754.0,8403618997.0,111076194717.0,66038561097.0,62180426473.0,15696877201.0,12753503889.0,6777359956.0,799838421774.0,12753503889.0,0,42045826563.0,8479748415.0,0,0,0,2017,3
825695094853.0,435976759327.0,8334705664.0,89059717242.0,7935858686.0,5965754768.0,19215063551.0,19890918311.0,12872290075.0,805804176542.0,19890918311.0,0,53831476423.0,9276805578.0,0,0,0,2017,4
867234366373.0,426182453668.0,8485792331.0,102301004233.0,43048921420.0,40405660189.0,31044305626.0,22102509720.0,20864279534.0,845131856653.0,22102509720.0,0,50734634702.0,9863218992.0,0,0,0,2018,1
931189417306.0,511585299684.0,8751809211.0,158166222306.0,65313180553.0,62013436990.0,21239096139.0,96013279163.0,32052344724.0,835176138143.0,96013279163.0,0,78408415453.0,10075447266.0,0,0,0,2018,2
875597427723.0,501450409964.0,8633795952.0,99213038162.0,26041865042.0,23919417765.0,21755018397.0,16501871815.0,15317775633.0,859095555908.0,16501871815.0,0,64332072025.0,11299850668.0,0,0,0,2018,3
882652688804.0,490337624493.0,8711032692.0,82787523339.0,4040703109.0,2927487929.0,22965164006.0,20629644967.0,11069237549.0,862023043837.0,20629644967.0,0,66401043413.0,11329348731.0,0,0,0,2018,4
906895474757.0,545184845501.0,8575269432.0,112081206445.0,29415804804.0,28614876298.0,28005153255.0,15347888627.0,17981397731.0,891547586130.0,15347888627.0,0,69653741636.0,12312304194.0,0,0,0,2019,1
954773246961.0,577388762741.0,8439506172.0,148394657289.0,47042556348.0,45616270630.0,23726169136.0,75184346201.0,38138995799.0,879588900760.0,75184346201.0,0,88177984898.0,12840019197.0,0,0,0,2019,2
921520088623.0,565397707741.0,8303742912.0,107749618867.0,24914823197.0,31966706280.0,24855269793.0,11464481583.0,8492758338.0,910055607040.0,11464481583.0,0,75386975113.0,12878511588.0,0,0,0,2019,3
929190817450.0,571000319696.0,8217026330.0,83917562138.0,5086113954.0,4120355002.0,24518732422.0,17123291980.0,6905040806.0,912067525470.0,17123291980.0,0,66863815487.0,12893001719.0,0,0,0,2019,4
928077158425.0,558118164596.0,8340036403.0,88303620446.0,6464285488.0,5492297798.0,27919598185.0,10751315380.0,8727985760.0,917325843045.0,10751315380.0,0,68964569701.0,12995293606.0,0,0,0,2020,1
929671404463.0,545887239255.0,8238213142.0,60839624112.0,862312238.0,638239933.0,27526394505.0,11707321485.0,22507828741.0,917964082978.0,11707321485.0,0,50463975455.0,13009304966.0,0,0,0,2020,2
881132523830.0,533512861567.0,8136389881.0,86142868460.0,18520118788.0,16804162118.0,28053289559.0,9696013734.0,8023557563.0,871436510096.0,9696013734.0,0,59203029731.0,13057087180.0,0,0,0,2020,3
883065324628.0,520580768086.0,8034566620.0,69053352305.0,-956454526.0,-2116571810.0,28036457244.0,13745386343.0,14585818591.0,869319938285.0,13745386343.0,0,59345971109.0,13057065321.0,0,0,0,2020,4
892659632532.0,523128689467.0,7932743359.0,78865933013.0,7747789457.0,6756994292.0,29071169533.0,14692243584.0,19213063961.0,877967388948.0,14692243584.0,0,61017091106.0,13123837550.0,0,0,0,2021,1
884743201045.0,510099558169.0,7865188997.0,64825041959.0,-2708656297.0,-3132238238.0,28316811227.0,41573917835.0,27471824684.0,843169283210.0,41573917835.0,0,58608537938.0,13119834239.0,0,0,0,2021,2
827157225736.0,497106144184.0,7812465674.0,4065313770.0,-23387096911.0,-22375628345.0,28082645107.0,6363570870.0,6272034359.0,820793654866.0,6363570870.0,0,25008158179.0,13069285887.0,0,0,0,2021,3
811532609215.0,484134394024.0,7777492340.0,19402820146.0,-20191438842.0,-19788530302.0,27998691108.0,10527484652.0,8191903226.0,801005124563.0,10527484652.0,0,34914397937.0,13029872073.0,0,0,0,2021,4
821710549626.0,471162643864.0,7742519006.0,84216012832.0,9980048294.0,9980048294.0,28778363659.0,10725376769.0,10715302480.0,810985172857.0,10725376769.0,0,64219733505.0,13029872073.0,0,0,0,2022,1
849006186988.0,458191787629.0,7707545672.0,126562200577.0,27768301957.0,26049865580.0,28541201757.0,11971148552.0,9591947684.0,837035038436.0,11971148552.0,0,85849488787.0,13028978148.0,0,0,0,2022,2
860554237534.0,445394853226.0,7717405671.0,114952109788.0,15854272771.0,13601542696.0,28365575286.0,9917656404.0,8460935149.0,850636581130.0,9917656404.0,0,86646200887.0,13004022983.0,0,0,0,2022,3
860554237534.0,445394853226.0,7717405671.0,114952109788.0,15854272771.0,13601542696.0,28365575286.0,9917656404.0,8460935149.0,850636581130.0,9917656404.0,0,86646200887.0,13004022983.0,0,0,0,2022,4
