totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
14964437294047.0,21691340606.0,120135927491.0,0,0,0,0,6518132323112.0,0,8446304970935.0,0,0,0,4511688913.0,0,0,0,2017,1
16390420672126.0,22106995174.0,119403803983.0,0,0,0,0,7586827279081.0,0,8803593393045.0,0,0,0,4959144098.0,0,0,0,2017,2
17352425870701.0,29388247797.0,118501737470.0,0,0,0,0,8449832568350.0,0,8902593302351.0,0,0,0,5236312495.0,0,0,0,2017,3
18764375171848.0,32942324482.0,128158998932.0,0,0,0,0,10148125475946.0,0,8616249695902.0,0,0,0,6240067638.0,0,0,0,2017,4
20873471809713.0,30889803052.0,17034008255.0,0,0,0,0,11863003963889.0,0,9010467845824.0,0,0,0,5761478580.0,0,0,0,2018,1
20473040563831.0,75452574596.0,38404151977.0,0,0,0,0,11324248225391.0,0,9148792338440.0,0,0,0,5905454396.0,0,0,0,2018,2
23412587559962.0,86545246448.0,35313021214.0,0,0,0,0,13900527778251.0,0,9512059781711.0,0,0,0,8963472809.0,0,0,0,2018,3
23825626725361.0,84097724124.0,34644924606.0,0,0,0,0,14669962197728.0,0,9155664527633.0,0,0,0,10198062073.0,0,0,0,2018,4
25031547530915.0,79773166282.0,32422466839.0,0,0,0,0,15660656253605.0,0,9370891277310.0,0,0,0,10207875644.0,0,0,0,2019,1
27241182243476.0,77576498887.0,33532952615.0,0,0,0,0,17753050140364.0,0,9488132103112.0,0,0,0,10093968893.0,0,0,0,2019,2
25682773499829.0,84837309667.0,49605062902.0,0,0,0,0,15959231770043.0,0,9723541729786.0,0,0,0,10416308416.0,0,0,0,2019,3
27044115024913.0,96560532972.0,50452196495.0,0,0,0,0,17643055244708.0,0,9401059780205.0,0,0,0,12174968830.0,0,0,0,2019,4
27499507125665.0,91794936391.0,46998793342.0,0,0,0,0,18219391032300.0,0,9280116093365.0,0,0,0,12578214098.0,0,0,0,2020,1
25926469617946.0,94946933091.0,49503892414.0,0,0,0,0,16122927309133.0,0,9803542308813.0,0,0,0,13153631923.0,0,0,0,2020,2
26932953047080.0,89818554630.0,46561393758.0,0,0,0,0,17436462715613.0,0,9496490331467.0,0,0,0,13781210828.0,0,0,0,2020,3
35769528008239.0,98435823134.0,49852501423.0,0,0,0,0,25896730955920.0,0,9872797052319.0,0,0,0,13330188888.0,0,0,0,2020,4
37623298592745.0,90747277516.0,45461538315.0,0,0,0,0,26179083372443.0,0,11447215220302.0,0,0,0,14457203372.0,0,0,0,2021,1
41909854337867.0,112834688297.0,45184639746.0,0,0,0,0,30510003078822.0,0,11399851259045.0,0,0,0,14549777490.0,0,0,0,2021,2
47603599899089.0,126966059100.0,43638424271.0,0,0,0,0,35525663313878.0,0,12077936585211.0,0,0,0,16806354168.0,0,0,0,2021,3
50793056562082.0,135989246335.0,52976200586.0,0,0,0,0,36572973831934.0,0,14220082730148.0,0,0,0,18301569345.0,0,0,0,2021,4
50081417987976.0,125431736273.0,46410969749.0,0,0,0,0,35013403664438.0,0,15068014323538.0,0,0,0,20572041673.0,0,0,0,2022,1
43271692294652.0,142442129032.0,72357275219.0,0,0,0,0,28904944223517.0,0,14366748071135.0,0,0,0,22224406658.0,0,0,0,2022,2
45436360097588.0,138744560761.0,67271544198.0,0,0,0,0,23274554098298.0,0,22161805999290.0,0,0,0,22196689368.0,0,0,0,2022,3
45436360097588.0,138744560761.0,67271544198.0,0,0,0,0,23274554098298.0,0,22161805999290.0,0,0,0,22196689368.0,0,0,0,2022,4
