totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
151327529238.0,21756427016.0,2207302216.0,24201208093.0,0,527246176.0,77399814037.0,62009831886.0,9169747955.0,89317697352.0,62009831886.0,0,21187893419.0,0,590456395.0,51426696979.0,0,2017,1
168711522970.0,20996505034.0,2204889716.0,57780641584.0,0,1060915078.0,66182196547.0,87943400657.0,12835881613.0,80768122313.0,87943400657.0,0,51602641037.0,0,798667621.0,68039312279.0,0,2017,2
199962790906.0,20653743596.0,2202477216.0,38853287371.0,0,154300217.0,111965670859.0,119040368376.0,19288886788.0,80922422530.0,119040368376.0,0,33920534675.0,0,930705854.0,94486080825.0,0,2017,3
185958660771.0,19863120792.0,2200064716.0,138070669402.0,0,-12729457589.0,52732574569.0,117765695830.0,55272886782.0,68192964941.0,117765695830.0,0,145954842358.0,0,1489781086.0,79690251870.0,0,2017,4
147240623126.0,19097130821.0,2197652216.0,50786786832.0,0,-12214849397.0,42312572234.0,90811337159.0,7302514211.0,56429285967.0,90811337159.0,0,59578956978.0,0,746915087.0,60655943245.0,0,2018,1
106840032760.0,18331140850.0,2195239716.0,28652125195.0,0,276773899.0,49788280578.0,50132830731.0,3281551115.0,56707202029.0,50132830731.0,0,23967598134.0,0,836575477.0,42083970140.0,0,2018,2
100267190937.0,17680102708.0,2234568534.0,42445013652.0,0,550220124.0,46124574171.0,43009768784.0,12408089917.0,57257422153.0,43009768784.0,0,36837839098.0,0,392175714.0,33111555050.0,0,2018,3
111385749660.0,16912670308.0,2232349784.0,43548468907.0,0,-2530708767.0,55402903444.0,56659036274.0,14982581476.0,54726713386.0,56659036274.0,0,42162245599.0,0,572511469.0,44537528468.0,0,2018,4
143146585100.0,16145237908.0,2230131034.0,31135045573.0,0,87837535.0,86217813684.0,88332034179.0,5399092212.0,54814550921.0,88332034179.0,0,27724219781.0,0,741982885.0,63764198519.0,0,2019,1
198183131537.0,15377805508.0,2227912284.0,77629591652.0,0,2261850574.0,116158707996.0,141106730042.0,5265239858.0,57076401495.0,141106730042.0,0,67889898756.0,0,1207387282.0,82746344375.0,0,2019,2
264241127439.0,17693311471.0,2225693534.0,153561183023.0,0,4309998893.0,139988307381.0,202854727051.0,36729114050.0,61386400388.0,202854727051.0,0,139901744505.0,0,1574817026.0,87450400867.0,0,2019,3
206892991842.0,16291430358.0,2314275826.0,79328737309.0,0,3167458453.0,107839635412.0,142339133001.0,8303245517.0,64553858841.0,142339133001.0,0,69284958627.0,0,1381923302.0,86667237413.0,0,2019,4
205819420216.0,15556093472.0,2309197701.0,93040947820.0,0,1291917063.0,89087303983.0,140372559323.0,1395333753.0,65446860893.0,140372559323.0,0,84954056502.0,0,1956657578.0,86588753721.0,0,2020,1
177751143801.0,14730974557.0,2304119576.0,44045534389.0,0,2199715157.0,76400943479.0,110104567751.0,3182523477.0,67646576050.0,110104567751.0,0,35506382283.0,0,1602193910.0,84393497144.0,0,2020,2
132793017470.0,16690973304.0,2299041451.0,74655343076.0,0,933068974.0,38486114116.0,64213372446.0,3488398809.0,68579645024.0,64213372446.0,0,67219719241.0,0,1739297887.0,25299919697.0,0,2020,3
114820858408.0,16035781498.0,2293963326.0,31326173324.0,0,2287379132.0,57350104389.0,43953834252.0,1406246422.0,70867024156.0,43953834252.0,0,25411752703.0,0,127801675.0,14338574219.0,0,2020,4
86295314596.0,15381250609.0,2288885201.0,34651837838.0,0,25458316.0,41566730440.0,15402832124.0,15474828784.0,70892482472.0,15402832124.0,0,33052304626.0,0,141532673.0,0,0,2021,1
79411773517.0,14731636279.0,2283807076.0,30023253382.0,0,-3817922139.0,32803796929.0,12337213184.0,6227823427.0,67074560333.0,12337213184.0,0,30995858277.0,0,17775892.0,3476496169.0,0,2021,2
93378388900.0,14092232664.0,2278728951.0,12387532319.0,0,-1715933358.0,55263312041.0,28019761925.0,6423497479.0,65358626975.0,28019761925.0,0,11878050630.0,0,83426555.0,17313813803.0,0,2021,3
151834731144.0,13465582694.0,2273650826.0,83043107975.0,0,2003190807.0,63350383877.0,84472913362.0,8292033120.0,67361817782.0,84472913362.0,0,76346816159.0,0,379620104.0,40623339500.0,0,2021,4
123111595223.0,12840050204.0,2268572701.0,33574150180.0,0,-3975930098.0,81510942427.0,59725707539.0,2350913338.0,63385887684.0,59725707539.0,0,33697556387.0,0,518650403.0,22809193246.0,0,2022,1
117235657340.0,12181993170.0,2263494576.0,67228717095.0,0,546912800.0,49761562542.0,53302856856.0,6863793468.0,63932800484.0,53302856856.0,0,62059121208.0,0,593294832.0,44876240698.0,0,2022,2
115911210384.0,11569358358.0,2258416451.0,54346926548.0,0,-4923950281.0,42707131253.0,56902360181.0,5425121560.0,59008850203.0,56902360181.0,0,55171536234.0,0,416079385.0,32463051186.0,0,2022,3
115911210384.0,11569358358.0,2258416451.0,54346926548.0,0,-4923950281.0,42707131253.0,56902360181.0,5425121560.0,59008850203.0,56902360181.0,0,55171536234.0,0,416079385.0,32463051186.0,0,2022,4
