totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
2062822210451.0,1313077654665.0,750888288.0,447553924050.0,28087510480.0,25034513792.0,349388704515.0,1342679154042.0,147872506359.0,720143056409.0,739800395994.0,602878758048.0,395849446019.0,36919418010.0,5305327611.0,475877777132.0,602556129495.0,2017,1
2138467985044.0,1280615968872.0,524375416.0,470151901248.0,26367549551.0,24052498768.0,424758698755.0,1410327237067.0,159443409895.0,728140747977.0,857312208100.0,553015028967.0,418651071387.0,36956119269.0,7983611478.0,496439207016.0,552758623080.0,2017,2
2074133955597.0,1243858287629.0,358198776.0,513474146570.0,17833507397.0,17795529365.0,398616935603.0,1328504481333.0,141327341868.0,745629474264.0,824388020933.0,504116460400.0,467519531751.0,36923857884.0,7603819965.0,487088845901.0,503743236400.0,2017,3
1974944710837.0,1207102482783.0,733230925.0,559548119485.0,33054012925.0,31015103486.0,398105415555.0,1198319166327.0,116615724965.0,776625544510.0,730782662098.0,467536504229.0,491767926180.0,36931154515.0,6576672730.0,341027532282.0,467173155962.0,2017,4
1968193613588.0,1170507104019.0,567915814.0,588985956538.0,45506003839.0,40118035369.0,352275348346.0,1149676619646.0,89578712483.0,818516993942.0,730085063400.0,419591556246.0,512010935328.0,36314445097.0,6369215771.0,380397910499.0,419241395246.0,2018,1
2104564025408.0,1134538212142.0,514272888.0,602998572251.0,51093525290.0,44289066977.0,453992036522.0,1289456151462.0,261457395140.0,815107873946.0,899472345054.0,389983806408.0,517588839044.0,36323848436.0,6792789297.0,390433295387.0,389503649908.0,2018,2
2279240474455.0,1098836316977.0,474709961.0,588902766728.0,51683067219.0,46764830011.0,512752749967.0,1417156130565.0,239923938013.0,862084343890.0,993003874776.0,424152255789.0,497124774798.0,35534144459.0,7312509151.0,507185370918.0,423685922285.0,2018,3
2104688943395.0,1146051523960.0,435147034.0,626816072155.0,51028110667.0,48269673668.0,498721481008.0,1194883378185.0,198073601955.0,909805565210.0,846600353851.0,348283024334.0,546085255596.0,34380933657.0,8562148540.0,426713696161.0,347818799805.0,2018,4
2133139945397.0,1142265335210.0,403613333.0,605224905775.0,59326971103.0,51901308087.0,507882091153.0,1172197806302.0,157017356687.0,960942139095.0,865397528933.0,306800277369.0,521569839613.0,36123494384.0,8008652722.0,440498725951.0,306366683869.0,2019,1
2246664871352.0,1108233303340.0,376094242.0,493984307852.0,64721257306.0,57682551986.0,554992043365.0,1268384861917.0,274910300526.0,978280009435.0,1012326440689.0,256058421228.0,399044907146.0,33756301495.0,7802687303.0,524205982245.0,255630712853.0,2019,2
2162696945161.0,1074719982446.0,348575151.0,554257889534.0,56542209702.0,51574186239.0,555844659120.0,1132842749487.0,144385283197.0,1029854195674.0,922926789029.0,209915960458.0,474654969109.0,33208562930.0,6782163897.0,586731252440.0,209483139833.0,2019,3
2068944667901.0,1047866385883.0,321056060.0,575511504249.0,72494176578.0,53397455400.0,522572287148.0,985693016827.0,150025727572.0,1083251651074.0,821208497416.0,164484519411.0,479600789826.0,33369989670.0,8120656254.0,510474231598.0,164112248703.0,2019,4
2000330307213.0,1013732778386.0,293536969.0,616738974639.0,57732545197.0,52035161099.0,432357375638.0,865175598694.0,199575609357.0,1135154708519.0,743893340411.0,121282258283.0,521686877944.0,32948160719.0,5365241537.0,456714909030.0,120916499325.0,2020,1
1856896439357.0,980222480068.0,266017878.0,252181638889.0,8077889602.0,2874571867.0,478759022286.0,863555649971.0,133246139246.0,993340789386.0,775791477713.0,87764172258.0,231945232332.0,34061256802.0,4462335887.0,500107066758.0,87405668800.0,2020,2
1770221332218.0,946787122544.0,238498787.0,327748192203.0,23042085356.0,20108290292.0,443946942655.0,756772252541.0,106227166369.0,1013449079677.0,700680761114.0,56091491427.0,287566696053.0,32939437222.0,3998794477.0,513013050099.0,55750380969.0,2020,3
1703272872477.0,913710763339.0,210979696.0,568997532908.0,74507389606.0,68387245041.0,400542739062.0,621436547759.0,95106312655.0,1081836324718.0,569421548950.0,52014998809.0,469196040880.0,33103878296.0,3450575600.0,222563222915.0,51678081226.0,2020,4
1788315502239.0,885532851113.0,183460605.0,567006300085.0,85572116534.0,70116714453.0,458128712879.0,635407067378.0,126521949647.0,1152908434861.0,634066966793.0,1340100585.0,454993817898.0,28205431320.0,1486794617.0,213941536620.0,0,2021,1
