totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
182479505656.0,21288749337.0,0,71708007472.0,12116445987.0,1022149279.0,37253255421.0,30103928432.0,54806974172.0,152375577224.0,30103928432.0,0,65339133389.0,985015103.0,87281315.0,6512507561.0,0,2017,1
177283192668.0,19936087807.0,0,58634661347.0,12116445987.0,-4405395601.0,44585131410.0,33747369823.0,54806974172.0,143535822845.0,33747369823.0,0,53339116670.0,985015103.0,44204258.0,2520751272.0,0,2017,2
179686268865.0,18754450700.0,0,53446335942.0,12116445987.0,2878516827.0,50119865337.0,33542821827.0,54806974172.0,146143447038.0,33542821827.0,0,47540525077.0,985015103.0,9765553.0,5339349572.0,0,2017,3
180861365220.0,18461296057.0,0,47396632550.0,12116445987.0,3655410703.0,40459382315.0,31419425289.0,54806974172.0,149441939931.0,31419425289.0,0,41362702494.0,985015103.0,3053050.0,3594061447.0,0,2017,4
159912772419.0,11613883943.0,0,42801204405.0,12116445987.0,1879512649.0,38647888809.0,13911209105.0,54806974172.0,146001563314.0,13911209105.0,0,36983951930.0,985015103.0,22539912.0,0,0,2018,1
163638868065.0,10425483089.0,0,62583601474.0,12116445987.0,2370927629.0,34915169199.0,23288440122.0,54806974172.0,140350427943.0,23288440122.0,0,56035434971.0,985015103.0,1468782.0,0,0,2018,2
162632959971.0,10088964059.0,0,40054477882.0,12116445987.0,1220727255.0,40525236303.0,21063082837.0,54806974172.0,141569877134.0,21063082837.0,0,37478820567.0,985015103.0,8401163.0,1652127108.0,0,2018,3
174325460871.0,8947565803.0,0,69217058003.0,12116445987.0,-175911474.0,37578061897.0,32931495211.0,54806974172.0,141393965660.0,32931495211.0,0,66150374790.0,985015103.0,89288202.0,9566234720.0,0,2018,4
160704370365.0,8902830086.0,0,45526335143.0,12116445987.0,727375572.0,27043357834.0,18591885152.0,54806974172.0,142112485213.0,18591885152.0,0,42228914631.0,985015103.0,43082626.0,5501528405.0,0,2019,1
169946131803.0,8950934208.0,0,39727986596.0,12116445987.0,326602269.0,31463698094.0,27507044321.0,54806974172.0,142439087482.0,27507044321.0,0,36733686238.0,985015103.0,69135397.0,11929846156.0,0,2019,2
171820077476.0,8564775831.0,0,62178801024.0,12116445987.0,3150024097.0,30374574142.0,32648616297.0,54806974172.0,139171461179.0,32648616297.0,0,55880428318.0,985015103.0,89365692.0,12043965100.0,0,2019,3
175064689204.0,8594229618.0,0,55702189625.0,12116445987.0,2547879634.0,34156028650.0,33345348391.0,54806974172.0,141719340813.0,33345348391.0,0,49016786943.0,985015103.0,162400775.0,15051630221.0,0,2019,4
181925082505.0,7911308682.0,0,51690631716.0,12116445987.0,2651053481.0,33327537054.0,37554688211.0,54806974172.0,144370394294.0,37554688211.0,0,44922327705.0,985015103.0,93343121.0,16060357450.0,0,2020,1
182691208564.0,7077112299.0,0,69298586447.0,12116445987.0,3083348970.0,37522375005.0,41659943600.0,54806974172.0,141031264964.0,41659943600.0,0,60887668536.0,985015103.0,219845983.0,19624056881.0,0,2020,2
176344229520.0,6565145637.0,0,47024988162.0,12116445987.0,3190210420.0,36679988617.0,32122754136.0,54806974172.0,144221475384.0,32122754136.0,0,40651926317.0,985015103.0,110412378.0,9796436623.0,0,2020,3
173589661242.0,9704045827.0,8673322063.0,62152775970.0,12116445987.0,-1636711980.0,27996431372.0,31004897838.0,54806974172.0,142584763404.0,31004897838.0,0,55326319080.0,985015103.0,62142452.0,3929348975.0,0,2020,4
172557772675.0,9059893081.0,8673322063.0,45871744075.0,12116445987.0,2741268553.0,26743056306.0,27231740718.0,54806974172.0,145326031957.0,27231740718.0,0,40030470675.0,985015103.0,36904115.0,4308735360.0,0,2021,1
189382241338.0,9902909469.0,8673322063.0,68820368179.0,12116445987.0,2054201434.0,33851625558.0,42002007947.0,54806974172.0,147380233391.0,42002007947.0,0,62168431514.0,985015103.0,164362505.0,20774577268.0,0,2021,2
186987391763.0,9246839706.0,8673322063.0,58409893579.0,12116445987.0,1020194531.0,43932168084.0,46059662859.0,54806974172.0,140927728904.0,46059662859.0,0,53794318964.0,985015103.0,57092648.0,6168983893.0,0,2021,3
175619023706.0,6333949090.0,0,63365070351.0,12116445987.0,730431774.0,42308848219.0,33960863028.0,54806974172.0,141658160678.0,33960863028.0,0,58608893390.0,985015103.0,63850338.0,0,0,2021,4
191010232596.0,5932544917.0,0,59898003060.0,12116445987.0,3451649289.0,43131361095.0,45843743676.0,54806974172.0,145166488920.0,45843743676.0,0,53258271911.0,985015103.0,45067807.0,13702055147.0,0,2022,1
189763475332.0,8457894206.0,0,60722202398.0,12116445987.0,-1476256903.0,47035725086.0,52490893715.0,54806974172.0,137272581617.0,52490893715.0,0,56111057386.0,985015103.0,192384058.0,14797914910.0,0,2022,2
194348841436.0,7915626007.0,0,62221754263.0,12116445987.0,185843603.0,55695137279.0,56890416216.0,54806974172.0,137458425220.0,56890416216.0,0,59100790309.0,985015103.0,182209736.0,15479866525.0,0,2022,3
194348841436.0,7915626007.0,0,62221754263.0,12116445987.0,185843603.0,55695137279.0,56890416216.0,54806974172.0,137458425220.0,56890416216.0,0,59100790309.0,985015103.0,182209736.0,15479866525.0,0,2022,4
