totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
1698399374254.0,184835610632.0,5202345000.0,42882925358.0,544438131142.0,438813851576.0,10403175034.0,251241338536.0,497356551369.0,1447158035718.0,183717804673.0,67523533863.0,36587330059.0,3896279900.0,432052411.0,1056571389.0,55586933613.0,2017,1
1304071367079.0,180945223378.0,5202345000.0,40355534470.0,14423939737.0,12235467248.0,16030851465.0,181033262702.0,106035839403.0,1123038104377.0,109226191126.0,71807071576.0,33061687295.0,3881057043.0,50630498.0,1109399555.0,56559836984.0,2017,2
1312989511526.0,202355382753.0,5202345000.0,48829515575.0,15833948365.0,13966102925.0,9890108856.0,177469698672.0,124070081784.0,1135519812854.0,107400571015.0,70069127657.0,37681028645.0,4360764500.0,-62250000.0,1109399555.0,56559836984.0,2017,3
1360702959782.0,198534203536.0,5202345000.0,50361112314.0,53248235024.0,40241693371.0,6864084447.0,180441716674.0,145121479467.0,1180261243108.0,108264691171.0,72177025503.0,39454893534.0,4118924143.0,515275421.0,1164869532.0,55853666317.0,2017,4
1322427364160.0,197179126253.0,5202345000.0,56213959704.0,30572214602.0,25109261061.0,4966097925.0,190692939134.0,64924900462.0,1131734425026.0,117206944830.0,73485994304.0,41233553423.0,4220010612.0,54059779.0,8431728520.0,55539899123.0,2018,1
1209308936503.0,236549676160.0,5202345000.0,58369925021.0,30119929421.0,27488958700.0,6313876637.0,187195556280.0,80616084449.0,1022113380223.0,113198628138.0,73996928142.0,41412827351.0,4856773547.0,548878110.0,4255920041.0,55380812061.0,2018,2
1237987182238.0,296428200216.0,5202345000.0,65975793272.0,29431324439.0,24723864194.0,8230957883.0,191050037130.0,74383906656.0,1046937145108.0,113919938667.0,77130098463.0,47433812851.0,5806512642.0,789718226.0,1536880222.0,56321600363.0,2018,3
1279352006041.0,308441773770.0,5202345000.0,69723587393.0,36996581924.0,28571141855.0,4879758147.0,202773082897.0,83322226016.0,1076578923144.0,114848942263.0,87924140634.0,50001724266.0,6439326603.0,725180589.0,1554852006.0,65041324534.0,2018,4
1090993312728.0,302895964492.0,5202345000.0,74416779213.0,24909544446.0,20171470500.0,4527306773.0,197231586750.0,67458593450.0,893761725978.0,109864597782.0,87366988968.0,51808296361.0,6521145642.0,337376809.0,2833241900.0,63978319668.0,2019,1
1103043029446.0,355071773520.0,5202345000.0,77747987865.0,26791035636.0,22164942137.0,2059063111.0,187769763432.0,108238527673.0,915273266014.0,101571968745.0,86197794687.0,56730817127.0,8005590972.0,808948324.0,3314246928.0,62944307187.0,2019,2
