totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
1520781678569.0,130562428367.0,6353788262.0,199134418131.0,0,3520232253.0,350239728578.0,1398133921961.0,111270446361.0,122647756608.0,1364293531480.0,33840390481.0,182955242464.0,0,662210617.0,274479172643.0,7046500000.0,2017,1
1507785286321.0,134676135911.0,6188866304.0,421344905673.0,0,7506687796.0,386649394282.0,1377630841917.0,32847247129.0,130154444404.0,1344289951436.0,33340890481.0,392987744411.0,0,3534888206.0,394876233099.0,6547000000.0,2017,2
1458744052390.0,133698701412.0,6023944346.0,440083258412.0,0,7742123586.0,317656589783.0,1320847484400.0,32651125219.0,137896567990.0,1292419267871.0,28428216529.0,410166342845.0,0,4643743078.0,427122902592.0,6047500000.0,2017,3
1395653789156.0,125071619070.0,5859022388.0,966776329700.0,0,17879914005.0,141887218229.0,1245997384544.0,92777364102.0,149656404612.0,1223423416633.0,22573967911.0,891925765411.0,0,6911776449.0,263223468800.0,5548000000.0,2017,4
1337581445271.0,116272230998.0,5694100430.0,75657305057.0,0,1260700290.0,268916986143.0,1206532422730.0,18681941027.0,131049022541.0,1184457954819.0,22074467911.0,70811947226.0,0,190278803.0,386994407034.0,5048500000.0,2018,1
1431398314740.0,107739296034.0,5529178472.0,227110907237.0,0,3909612897.0,373640700662.0,1296439679302.0,20788368740.0,134958635438.0,1278484419616.0,17955259686.0,208323349148.0,0,2032884477.0,390221237842.0,4549000000.0,2018,2
1424356775528.0,100432869660.0,5364256514.0,194906383909.0,0,3376587947.0,426953240068.0,1291308923631.0,25710437576.0,133047851897.0,1273853163945.0,17455759686.0,178691139620.0,0,554993714.0,375658953795.0,4049500000.0,2018,3
1275446249985.0,92408534190.0,5199334556.0,727608278583.0,0,13393700441.0,228125725822.0,1132278173456.0,84454451976.0,143168076529.0,1128728173456.0,3550000000.0,664186761710.0,0,13562714157.0,339101311507.0,3550000000.0,2018,4
1332330534162.0,82682714279.0,5034412598.0,71504620653.0,0,1219928515.0,398492594876.0,1186448857873.0,100776705843.0,145881676289.0,1186069857873.0,379000000.0,65660677332.0,0,600033722.0,299685602361.0,379000000.0,2019,1
1401516470120.0,71022731893.0,4869490640.0,234180609336.0,0,4035264113.0,519871682826.0,1270229210218.0,94268648221.0,131287259902.0,1270025210218.0,204000000.0,215366832906.0,0,1307135827.0,313915547058.0,204000000.0,2019,2
1426652863274.0,66499661630.0,4704568682.0,204867897995.0,0,3529620230.0,601106421967.0,1291835983142.0,40457393941.0,134816880132.0,1291735983142.0,100000000.0,189235034453.0,0,1250035183.0,310295812847.0,100000000.0,2019,3
1157266585387.0,62713899641.0,4539646726.0,769729340376.0,0,14014241216.0,348528827439.0,1010311682147.0,113588275523.0,146954903240.0,1010286682147.0,25000000.0,709795160593.0,0,8649013947.0,319651656118.0,25000000.0,2019,4
1236265759219.0,56468209431.0,4384289583.0,68313788679.0,0,1064027752.0,496614968872.0,1088318951866.0,55080731214.0,147946807353.0,1088318951866.0,0,63698558795.0,0,292275600.0,299336100510.0,0,2020,1
1181137951569.0,51636428370.0,4228932440.0,350997479278.0,0,6017337638.0,420751549484.0,1027173806578.0,137454853732.0,153964144991.0,1027173806578.0,0,321544702894.0,0,5209559420.0,289367277387.0,0,2020,2
1091129152839.0,46820977898.0,4073575300.0,380343176689.0,0,6566372973.0,364005098213.0,949228315375.0,123334043822.0,141900837464.0,949228315375.0,0,357509582995.0,0,3737757800.0,253620472359.0,0,2020,3
1145425743038.0,51858919645.0,4061075300.0,668699126744.0,0,9664519585.0,234234450793.0,993860385989.0,183422573563.0,151565357049.0,993860385989.0,0,622302132189.0,0,9169919380.0,173438012141.0,0,2020,4
1042974264350.0,48249284493.0,4048575300.0,64272780465.0,0,1047348359.0,293094426679.0,890361558942.0,64616010954.0,152612705408.0,890361558942.0,0,59163167589.0,0,68149.0,127932632772.0,0,2021,1
1097971548970.0,44369237128.0,4036075300.0,338790817182.0,0,5406797272.0,353181227554.0,958639621787.0,26648306211.0,139331927183.0,958639621787.0,0,319565072948.0,0,2133876216.0,183400745779.0,0,2021,2
1297530247915.0,42464697162.0,4023575300.0,156283878515.0,0,2504620136.0,470153514041.0,1155693700596.0,56755367797.0,141836547319.0,1155693700596.0,0,144333498881.0,0,1532933007.0,199958113840.0,0,2021,3
1428708781972.0,38586671315.0,4011075300.0,666808930112.0,0,10651758592.0,294394157505.0,1276216581176.0,502430459352.0,152492200796.0,1276216581176.0,0,621302248844.0,0,7192905778.0,131123193292.0,0,2021,4
1370282992348.0,35254831141.0,3998575300.0,57674269580.0,0,713326509.0,479827552104.0,1217077465043.0,211008698903.0,153205527305.0,1217077465043.0,0,53822577364.0,0,59441355.0,160165974902.0,0,2022,1
2162166160146.0,32553575743.0,3986075300.0,274084662408.0,0,3270878578.0,658013072738.0,2021773578043.0,612881256358.0,140392582103.0,2021773578043.0,0,254297049621.0,0,1408766910.0,56150546166.0,0,2022,2
1809293581136.0,32287335613.0,3973575300.0,546102064294.0,0,6547862683.0,619472345862.0,1662353136350.0,127179604545.0,146940444786.0,1662353136350.0,0,522047972751.0,0,51813545.0,35744533142.0,0,2022,3
1809293581136.0,32287335613.0,3973575300.0,546102064294.0,0,6547862683.0,619472345862.0,1662353136350.0,127179604545.0,146940444786.0,1662353136350.0,0,522047972751.0,0,51813545.0,35744533142.0,0,2022,4
