totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
834809785244.0,269857336361.0,27703696379.0,189960045795.0,22784917187.0,18139374239.0,3578859686.0,232579492166.0,95132814959.0,602230293078.0,175466196862.0,57113295304.0,155051386747.0,14938735976.0,1379803864.0,24402473543.0,39113295304.0,2017,1
859768742615.0,258618722586.0,27497741546.0,206824198908.0,29245571552.0,24058981332.0,2335063823.0,268061534755.0,107566035018.0,591707207860.0,217736597445.0,50324937310.0,168862787561.0,14903056284.0,1291224202.0,20410337806.0,32324937310.0,2017,2
870051749124.0,253597768321.0,27291786713.0,223806413947.0,35172767275.0,28226686968.0,2788657138.0,252940522994.0,170162210729.0,617111226130.0,205687009491.0,47253513503.0,178496026745.0,14949436123.0,898861105.0,5456397500.0,24771695326.0,2017,3
850364243649.0,239930354303.0,27085831880.0,212170520712.0,30245709824.0,26185340781.0,3169780396.0,209786210816.0,181464863806.0,640578032833.0,159045434678.0,50740776138.0,175434804938.0,14971530851.0,647215936.0,7998202000.0,20772594326.0,2017,4
899695993075.0,231428814522.0,26879877047.0,204680619685.0,26485114874.0,21125190827.0,2328543846.0,242168777596.0,115315193718.0,657527215479.0,181026599823.0,61142177773.0,166824204283.0,14674666226.0,621675135.0,5998651500.0,26837632326.0,2018,1
940174511837.0,233535977116.0,26678895345.0,231305922647.0,33652124723.0,27104840139.0,2088800286.0,297879463619.0,160087329562.0,642295048218.0,234015067122.0,63864396497.0,191513390311.0,14628796197.0,578412906.0,8477831411.0,29723487415.0,2018,2
995028195582.0,224050202296.0,26686141845.0,223803217567.0,31397556056.0,26017881420.0,2489697778.0,330903265944.0,156029154756.0,664124929638.0,255268571830.0,75634694114.0,185525614591.0,14856903940.0,363140928.0,3693479000.0,38492269883.0,2018,3
964718036233.0,228391445052.0,26473871262.0,227622801180.0,29339473953.0,25239426697.0,2184242875.0,279918984318.0,131210242209.0,684799051915.0,194849371739.0,85069612579.0,191774858134.0,15495255488.0,576379201.0,7256812281.0,43714994895.0,2018,4
989312745030.0,315071498439.0,26272958461.0,207204541879.0,25875428752.0,21127918024.0,3070012422.0,287685716966.0,122838424610.0,701627028064.0,208863062815.0,78822654151.0,172740375972.0,13033525483.0,723681311.0,4531618922.0,37763491014.0,2019,1
1007414611223.0,303197746927.0,26077724545.0,242073762005.0,28446810972.0,23477987071.0,2864356373.0,329009823962.0,124945361459.0,678404787261.0,253313005339.0,75696818623.0,206685827622.0,13193532073.0,612639399.0,7552698203.0,34742411733.0,2019,2
1046990857434.0,317838682897.0,25882490629.0,248381346452.0,32949821840.0,26471001224.0,3225434292.0,346415010823.0,157997592655.0,700575846611.0,268413983013.0,78001027810.0,201417361228.0,13706387350.0,541799681.0,4531698203.0,37342075467.0,2019,3
1056561210122.0,325010380138.0,25687256713.0,253901441033.0,28407441583.0,22636355924.0,8086172971.0,286636481939.0,146368868592.0,769924728183.0,212451710473.0,74184771466.0,216147931362.0,13488309962.0,583232348.0,10039025664.0,33821273670.0,2019,4
