totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
2902971566058.0,777293258012.0,208229156449.0,775703377190.0,57184045180.0,47676131950.0,625070314811.0,1939584987935.0,108725833395.0,963386578123.0,1491889606582.0,447695381353.0,645103753342.0,25853820043.0,10755080168.0,1011760671379.0,401473989022.0,2017,1
3123166667254.0,629672910487.0,214733426656.0,771720759657.0,84900055844.0,70486292228.0,824511925594.0,2150288718255.0,125332575610.0,972877948999.0,1728922500030.0,421366218225.0,649066371419.0,26216046300.0,11873721808.0,1069175134064.0,376071496722.0,2017,2
3142957162658.0,662788883822.0,215488597994.0,901904744557.0,60582258360.0,52205493285.0,722266676163.0,2093323969874.0,136823904342.0,1049633192784.0,1736533625808.0,356790344066.0,766291299310.0,27418066070.0,12727496297.0,1034797151164.0,312552992981.0,2017,3
3035381716847.0,677043927517.0,224283457219.0,759741886163.0,32485133387.0,21637871049.0,805789570715.0,1963763452884.0,130484287864.0,1071618263963.0,1626471053681.0,337292399203.0,645727952590.0,26671975238.0,12490616713.0,968875818425.0,293549046976.0,2017,4
2920049914470.0,651401584008.0,223431967054.0,848373929360.0,61616943218.0,48981582385.0,734142070228.0,1825133248557.0,208206062180.0,1094916665913.0,1487786452086.0,337346796471.0,701577168172.0,25733281447.0,11706818217.0,931209141897.0,293549046976.0,2018,1
3066434646333.0,630909558526.0,190857675054.0,799999459647.0,88547377721.0,67185762573.0,1098333422222.0,1933707226662.0,181235287661.0,1132727419671.0,1625516380312.0,308190846350.0,655471820133.0,25703081693.0,12283530922.0,988449911365.0,265354415760.0,2018,2
3195824001823.0,626000720114.0,189697530877.0,1178449738933.0,121122160695.0,96392512666.0,955146439473.0,1966368866876.0,209794475772.0,1229455134947.0,1649248004189.0,317120862687.0,971991309472.0,26124263940.0,13481876350.0,973330198145.0,272157868181.0,2018,3
3247326018654.0,686696578240.0,188537386693.0,835187590247.0,52142912153.0,46572256523.0,1138024436123.0,1970927570370.0,216257327777.0,1276398448284.0,1701087853546.0,269839716824.0,654199301956.0,27623212879.0,14430881258.0,1007707771514.0,222135578026.0,2018,4
2989263163923.0,678246464383.0,187681813008.0,978264528962.0,54205280969.0,42988038823.0,894680974535.0,1697776398435.0,181876349492.0,1291486765488.0,1400690683610.0,297085714825.0,833507090884.0,27718080042.0,14295812595.0,902343162519.0,243453329954.0,2019,1
3085848634174.0,674922047863.0,186907777610.0,791373132489.0,65649796982.0,51954466310.0,1029498665580.0,1820207267206.0,185931294330.0,1265641366968.0,1592612548777.0,227594718429.0,662379690195.0,28625085135.0,12774952815.0,930143305428.0,179126436420.0,2019,2
2872314204724.0,661359588553.0,186693887195.0,1019526616441.0,72859807858.0,58121950829.0,819032543723.0,1510282341525.0,195453510908.0,1362031863199.0,1274811326639.0,235471014886.0,863704803918.0,29256835456.0,12068086520.0,757079872089.0,185588100420.0,2019,3
2922804725415.0,650312606665.0,185970738355.0,855035764301.0,81318066441.0,62661874455.0,892708172024.0,1497537641889.0,225134215210.0,1425267083526.0,1331355715842.0,166181926047.0,705890521716.0,29451904839.0,10266517508.0,732863759604.0,123333065617.0,2019,4
2875426481337.0,635895285077.0,185276394058.0,790176794143.0,42137327675.0,33937852690.0,843184955783.0,1446624984537.0,231979521237.0,1428801496800.0,1283598292406.0,163026692131.0,676579046618.0,29631276014.0,9385229722.0,863329208110.0,123333065617.0,2020,1
3071490054431.0,620545930658.0,184569553723.0,947724793592.0,100985952191.0,81075421287.0,997393899549.0,1634458110056.0,213354431364.0,1437031944375.0,1532866577817.0,101591532239.0,759936849993.0,30008550125.0,7812006860.0,904206982350.0,58420394440.0,2020,2
2935697565230.0,602821789504.0,183939468335.0,979584856138.0,106252293278.0,85192693774.0,826720486241.0,1372569891620.0,271740984515.0,1563127673610.0,1271379985470.0,101189906150.0,804222494058.0,29897890975.0,6252095452.0,712917284132.0,58420394440.0,2020,3
2976422649274.0,660766252460.0,183299172911.0,752230364875.0,93879111562.0,75037050817.0,1006919927775.0,1337687708547.0,287922412252.0,1638734940727.0,1256932784884.0,80754923663.0,608795422570.0,29607177316.0,4293887222.0,705517997456.0,37596706662.0,2020,4
3070562753718.0,639589324479.0,182941647618.0,945701163711.0,77661317009.0,62209671201.0,996908500006.0,1402131320178.0,236267922735.0,1668431433540.0,1321831245787.0,80300074391.0,791222956311.0,29282445982.0,4452148163.0,750211151571.0,37596706662.0,2021,1
3573502801136.0,636934251894.0,182614517452.0,978272104826.0,73710301752.0,58780076434.0,1410416126773.0,1887536572908.0,292979420923.0,1685966228228.0,1778781666287.0,108754906621.0,815308573105.0,29463307851.0,4787514617.0,813923895513.0,64610843002.0,2021,2
3341001192578.0,645629945757.0,181937046489.0,782925168200.0,-2204080281.0,-2854773640.0,1316578033553.0,1657539957209.0,259124097230.0,1683461235369.0,1504608091587.0,152931865622.0,707019618647.0,29906313482.0,5222852438.0,793973840984.0,107260608202.0,2021,3
3606390631343.0,644912238621.0,181428774005.0,828517269177.0,29331566218.0,24382186688.0,1463731770019.0,1897855936672.0,270468956398.0,1708534694671.0,1757418059259.0,140437877413.0,708362657177.0,30319822083.0,4762037513.0,909847845899.0,93227432663.0,2021,4
3750006009701.0,618845472525.0,180876115787.0,1122015840160.0,92286600303.0,73381856057.0,1424777724060.0,1969987016429.0,278932593410.0,1780018993272.0,1773725636037.0,196261380392.0,952348374268.0,30275928083.0,5120074871.0,1043589229300.0,148626116169.0,2022,1
3784009033135.0,774411725502.0,180518457572.0,1048645773769.0,68170576912.0,54436415301.0,1518778873208.0,1957355528278.0,281991797180.0,1826653504857.0,1776527487990.0,180828040288.0,875484605588.0,31258247972.0,6669754161.0,1059451718864.0,134527132786.0,2022,2
3526959437122.0,755722031840.0,179959799354.0,1229393568326.0,115418489042.0,91966254372.0,1340094066784.0,1607829893470.0,295439354003.0,1919129543652.0,1390444226550.0,217385666920.0,1014602541148.0,31957584244.0,8273713317.0,905454759011.0,166286145083.0,2022,3
3526959437122.0,755722031840.0,179959799354.0,1229393568326.0,115418489042.0,91966254372.0,1340094066784.0,1607829893470.0,295439354003.0,1919129543652.0,1390444226550.0,217385666920.0,1014602541148.0,31957584244.0,8273713317.0,905454759011.0,166286145083.0,2022,4
