totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
731508053268.0,104550063610.0,2117336703.0,171323273066.0,31674370946.0,25067416866.0,139785339511.0,430982815946.0,108256034309.0,300525237322.0,375329014938.0,55653801008.0,113098173461.0,5112576945.0,1114791094.0,86041183292.0,55653801008.0,2017,1
755654420000.0,149452593413.0,2226707796.0,252267372307.0,33220580789.0,28081642482.0,132350494693.0,473116051081.0,105055295939.0,282538368919.0,388401364739.0,84714686342.0,195638525658.0,5594068376.0,1818618867.0,99655503999.0,84714686342.0,2017,2
821542623475.0,150045015074.0,2197988523.0,211608265888.0,23199061922.0,20158242865.0,148881619381.0,519183772576.0,125156356125.0,302358850899.0,422134851707.0,97048920869.0,163845989564.0,6773560443.0,2027201667.0,125128935862.0,97048920869.0,2017,3
864841227190.0,186107552371.0,2169269250.0,271088309014.0,29741389818.0,24195064281.0,140412487944.0,537617995130.0,132317056279.0,327223232060.0,421005672161.0,116612322969.0,207475310274.0,4600919681.0,2662877657.0,133021933913.0,116387322969.0,2017,4
857581132848.0,175548213006.0,2140549977.0,201266851707.0,21769051732.0,18360960084.0,156862843312.0,517659802239.0,118320822885.0,339921330609.0,403718330590.0,113941471649.0,157894344346.0,6907879605.0,3385867219.0,133695623238.0,113480971649.0,2018,1
860435980870.0,287680148390.0,4945051425.0,217913234686.0,30947098791.0,22328341629.0,164836538270.0,548134829036.0,128544909316.0,312301151834.0,424545022767.0,123589806269.0,157695052868.0,8284576023.0,3926773488.0,150312816946.0,123162806269.0,2018,2
899435963854.0,283121067372.0,4900850073.0,220784036464.0,24042323650.0,18935561379.0,209380041707.0,567743009891.0,102864379053.0,331692953963.0,458183472442.0,109559537449.0,162177796090.0,8862152704.0,3878692155.0,142221616668.0,108974797449.0,2018,3
976324683303.0,278165385635.0,13258399177.0,310374782200.0,22503675587.0,17200066969.0,203769535381.0,626568063707.0,109322740308.0,349756619596.0,515829649082.0,110738414625.0,245920733055.0,11094288876.0,3416973063.0,176150470602.0,110160674625.0,2018,4
991798986769.0,277681439041.0,13172297602.0,203245762906.0,28747016463.0,20872770276.0,250684044069.0,622464986062.0,80138332497.0,369334000707.0,550940023687.0,71524962375.0,144129284210.0,8951752049.0,3549393375.0,220393707410.0,70909422375.0,2019,1
1031062826753.0,301561335073.0,13086196027.0,335152471634.0,32619628103.0,24688519740.0,276138909599.0,693944594986.0,108977783704.0,337118231767.0,618281358373.0,75663236613.0,255910923943.0,8781578867.0,3842746755.0,213265570160.0,75005196613.0,2019,2
1117594080139.0,312803034417.0,13000094452.0,323125849495.0,33829085990.0,27906458065.0,304695534769.0,752095422796.0,97323455647.0,365498657343.0,615483386565.0,136612036231.0,247114834423.0,10642612515.0,3891286013.0,159816363886.0,135953996231.0,2019,3
1245870391802.0,316451475444.0,12995217877.0,431525025970.0,38432991479.0,32589228990.0,307025809418.0,847470998868.0,163974895535.0,398399392934.0,676832891424.0,170638107444.0,337115715597.0,10596089791.0,3622430142.0,179876999157.0,169886567444.0,2019,4
1237203136082.0,321232770324.0,12919435627.0,342256346472.0,26818996557.0,23655831423.0,314087919567.0,829175837378.0,158945666188.0,408027298704.0,662039710207.0,167136127171.0,266727018249.0,10716356384.0,4229973109.0,170524737231.0,166556587171.0,2020,1
1329717297163.0,314885269398.0,33080787231.0,572419044855.0,80718443355.0,67907148993.0,337248909027.0,913672531812.0,175068122517.0,416044765351.0,746871448286.0,166801083526.0,417899840504.0,10841965799.0,3747363009.0,144857358628.0,166222043526.0,2020,2
1410123476079.0,316513924468.0,32814088623.0,388987582515.0,35583346665.0,30068337232.0,370301243087.0,949488893501.0,193293231749.0,460634582578.0,767208791015.0,182280102486.0,295731846559.0,11141837326.0,3270063285.0,123336181065.0,181707562486.0,2020,3
1449041996425.0,349246784131.0,32547390015.0,477790010421.0,55043602304.0,44088550421.0,374441557131.0,957621469351.0,151348800782.0,491420527074.0,731291511423.0,226329957928.0,354068574267.0,11583017400.0,3206633962.0,145034905889.0,225757417928.0,2020,4
1403932801612.0,347246181188.0,32280691407.0,369439731988.0,41977021443.0,35495473059.0,370263874070.0,898469830926.0,107435461753.0,505462970686.0,674449429388.0,224020401538.0,285042560067.0,12455643130.0,3452896706.0,160271770502.0,223467361538.0,2021,1
1453049774220.0,339523398895.0,32013992799.0,407907023255.0,49768956867.0,39037590634.0,382022048001.0,974596191051.0,130966285061.0,478453583169.0,730706481199.0,243889709852.0,308465318526.0,12610810184.0,3443903196.0,167135702007.0,243336669852.0,2021,2
1401566896328.0,333444587447.0,31747294191.0,154953376843.0,22914186614.0,20069456076.0,380645254608.0,889935679213.0,115239092342.0,511631217115.0,659142971721.0,230792707492.0,109480240116.0,12959809665.0,3209017289.0,141855589579.0,230239667492.0,2021,3
1550454775655.0,331343271633.0,31480595583.0,380998605430.0,47725623725.0,35177405492.0,419675289992.0,1019278697424.0,219351429274.0,531176078231.0,774958465762.0,244320231662.0,287489313182.0,13194097684.0,3248186177.0,199223327202.0,243767191662.0,2021,4
1570996249152.0,325605686520.0,31213896975.0,351034845364.0,38962806764.0,31315823420.0,431646041299.0,1009634310366.0,158170246942.0,561361938786.0,794613051654.0,215021258712.0,274544819076.0,13243466197.0,2949643967.0,194191838076.0,214423218712.0,2022,1
1572627556574.0,321021086433.0,30947198367.0,413527279485.0,66343452969.0,48932982115.0,425316666618.0,993594545051.0,190626024408.0,579033011523.0,834764927258.0,158829617793.0,299725095316.0,8286997225.0,2865638578.0,157659298953.0,158276577793.0,2022,2
1745953285897.0,306455270160.0,30680499759.0,388347254647.0,35013782753.0,27561153809.0,563054713844.0,1143245437379.0,222826167768.0,602707848518.0,922290278766.0,220955158613.0,307512554505.0,18305328171.0,2589555598.0,166455104508.0,220422118613.0,2022,3
1745953285897.0,306455270160.0,30680499759.0,388347254647.0,35013782753.0,27561153809.0,563054713844.0,1143245437379.0,222826167768.0,602707848518.0,922290278766.0,220955158613.0,307512554505.0,18305328171.0,2589555598.0,166455104508.0,220422118613.0,2022,4
