totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
2635625314224.0,199772981933.0,122366421302.0,1048737066844.0,139924701636.0,109837587714.0,1343761665482.0,1298191421824.0,220666611641.0,1337433892400.0,1298043121824.0,148300000.0,887974783392.0,5489697823.0,13844019562.0,1024315933484.0,0,2017,1
2926260574005.0,197250806175.0,122545828767.0,1210759307502.0,88007196792.0,68946770622.0,1758132112540.0,1519286723940.0,104111420383.0,1406973850065.0,1519137123940.0,149600000.0,1084869448242.0,5429584956.0,22070795880.0,1275639476654.0,0,2017,2
2840154520632.0,191933367342.0,122200451871.0,1111899392993.0,92446993737.0,71175652337.0,1625525817213.0,1361074257230.0,146399718287.0,1479080263402.0,1360926957230.0,147300000.0,965539194994.0,6540568055.0,23999269530.0,1199060247738.0,0,2017,3
2891989176087.0,187801635557.0,121855074975.0,1600155793807.0,115720746273.0,90785325404.0,1477033698466.0,1320796150868.0,160182246769.0,1571193025219.0,1320647150868.0,149000000.0,1434228511975.0,5287139805.0,19774453697.0,953006773130.0,0,2017,4
3518107639189.0,248753851938.0,121509698079.0,1467137168725.0,128168263361.0,99343692968.0,2095556984227.0,1891353133416.0,88654308593.0,1626754505773.0,1891210270271.0,142863145.0,1292245414480.0,6135797733.0,16803818265.0,1522861588682.0,0,2018,1
3453013839277.0,243731599905.0,121164321183.0,1590463956662.0,51591973032.0,40022238041.0,1990628642120.0,1785877875824.0,128188937812.0,1667135963453.0,1784736335824.0,1141540000.0,1471830630645.0,6029990399.0,30604585846.0,1493605090885.0,0,2018,2
3257812609988.0,248482422707.0,120818944287.0,1524369903321.0,41115507715.0,31460742691.0,1828713877620.0,1558581878234.0,113739906763.0,1699230731754.0,1557621238234.0,960640000.0,1435751673466.0,5911606398.0,23797493863.0,1226586599387.0,0,2018,3
2851849605992.0,247377946842.0,120473567391.0,1370482932018.0,-99833211781.0,-81152370221.0,1520720052117.0,1237997531478.0,88540924481.0,1613852074514.0,1236851443478.0,1146088000.0,1372543320614.0,6016658904.0,21637124379.0,1010512734264.0,0,2018,4
2990749050358.0,242159287245.0,114338196420.0,1298519059054.0,39437296838.0,29752313238.0,1725880672827.0,1350784423375.0,108870803545.0,1639964626983.0,1349638535375.0,1145888000.0,1184565364514.0,7080511856.0,15930343656.0,990971618587.0,0,2019,1
3283982298062.0,240120828070.0,112834820709.0,1258333965846.0,11443393484.0,8050897835.0,2021396691268.0,1636821072905.0,77786869858.0,1647161225157.0,1635680184905.0,1140888000.0,1202258407645.0,7642900082.0,19516465118.0,1248172906100.0,0,2019,2
3191222541929.0,236059844846.0,111331444998.0,1253504362778.0,-8409152634.0,-8779858675.0,1912493305604.0,1552674705241.0,102507197477.0,1638547836688.0,1551533817241.0,1140888000.0,1220826895671.0,7712441132.0,19874044085.0,1136434371426.0,0,2019,3
3573468718269.0,230177011930.0,109828069287.0,1585183516643.0,-186959660496.0,-172153268741.0,2185479944939.0,2111807868846.0,180243467710.0,1461660849423.0,2110574706846.0,1233162000.0,1621830077587.0,7764998621.0,26698963574.0,1445536103434.0,0,2019,4
3419822233917.0,224310652107.0,108369276905.0,942601163481.0,4141327932.0,3779301178.0,2097615928153.0,2004557991677.0,166369893917.0,1415264242240.0,2003324229677.0,1233762000.0,897421967368.0,7616238215.0,20858321290.0,1684255337444.0,0,2020,1
3106436180053.0,219496385234.0,106938851245.0,1025080113441.0,-15701666541.0,-15750763310.0,2002967787520.0,1713950046876.0,18142838464.0,1392486133177.0,1713317284876.0,632762000.0,997041340240.0,7533008366.0,26127645667.0,1345275735090.0,0,2020,2
2904918974534.0,213767165518.0,105522608950.0,893731105805.0,13225871746.0,12096661014.0,1878354588414.0,1499682870663.0,13752116869.0,1405236103871.0,1499048708663.0,634162000.0,840554687294.0,7464356006.0,6244730066.0,1185538423031.0,0,2020,3
2774336356977.0,211579794335.0,106144973453.0,1223118993173.0,93751964220.0,75724211132.0,1643231525587.0,1294251259135.0,151953845967.0,1480085097842.0,1294104559135.0,146700000.0,1084764055378.0,8827368608.0,17272744097.0,1064370787154.0,0,2020,4
3648447423977.0,222353705295.0,104709438347.0,978948020513.0,142173845162.0,116013228088.0,2072250868972.0,2048296409181.0,143958707686.0,1600151014796.0,2048148909181.0,147500000.0,805915409339.0,7734760433.0,10793164520.0,1423445677022.0,0,2021,1
3204124472749.0,215973465810.0,103273903241.0,1394990965086.0,239450962101.0,190777457645.0,2118638972227.0,1458579441454.0,43923661345.0,1745545031295.0,1458439141454.0,140300000.0,1107375260850.0,7619234968.0,15450446246.0,1176893939503.0,0,2021,2
3425492908820.0,210114030617.0,101838368135.0,909387565682.0,130796587781.0,101367859638.0,2237509732351.0,1574446635420.0,71756232891.0,1851046273400.0,1574306135420.0,140500000.0,748195641802.0,7618299769.0,15550028587.0,1252067385227.0,0,2021,3
4195210557575.0,207570666692.0,100402833029.0,1361454155031.0,35272277871.0,33938029067.0,2807410908611.0,2276573550119.0,62326810147.0,1918637007456.0,2276431450119.0,142100000.0,1305982639344.0,7498680758.0,14463416371.0,1478242391406.0,0,2021,4
4326125734522.0,201778912006.0,98967297923.0,1795732571188.0,109506268074.0,84882792435.0,2571855860091.0,2321134153845.0,91088252267.0,2004991580677.0,2320991653845.0,142500000.0,1655921025219.0,7550619262.0,15851799596.0,1854668310573.0,0,2022,1
4193958936814.0,197123809279.0,97531762817.0,707654597837.0,34877419867.0,27191653708.0,2902287001108.0,2162898223988.0,72505223109.0,2031060712826.0,2162760723988.0,137500000.0,568100635579.0,7477534173.0,16721636804.0,1748465038307.0,0,2022,2
4685591175825.0,193166562707.0,96096227711.0,1159278955417.0,8603752163.0,8320868173.0,3386451253441.0,2647734433475.0,108309626784.0,2037856742350.0,2647597733475.0,136700000.0,1102547543758.0,7431005693.0,25388393168.0,1941998912897.0,0,2022,3
4685591175825.0,193166562707.0,96096227711.0,1159278955417.0,8603752163.0,8320868173.0,3386451253441.0,2647734433475.0,108309626784.0,2037856742350.0,2647597733475.0,136700000.0,1102547543758.0,7431005693.0,25388393168.0,1941998912897.0,0,2022,4
