totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
3547362861219.0,474083290478.0,14097146627.0,212630415749.0,-16726308521.0,-14665324832.0,1752285668490.0,3432344231806.0,74314904015.0,114986894159.0,3343390320602.0,88953911204.0,154823861474.0,8643478168.0,48305010549.0,2562008517996.0,0,2017,1
3697952847690.0,468524962355.0,14122142549.0,299783379230.0,17741749957.0,16038677936.0,1691551076592.0,3564961740192.0,50677770280.0,132959372244.0,1944540016555.0,1620421723637.0,255620590290.0,12653716224.0,64010991059.0,1053880395290.0,1592336527786.0,2017,2
3864330767331.0,467000207999.0,13949389850.0,243762497386.0,3128745019.0,6920236409.0,1753422141751.0,3728386727356.0,39595040798.0,135912304721.0,3140758096858.0,587628630498.0,169729079954.0,10971127490.0,41791979727.0,1053876540690.0,500000000000.0,2017,3
3682337085711.0,446135265682.0,13654392860.0,606775714433.0,22258245872.0,23034821840.0,1638323567484.0,2830835903495.0,53864546026.0,851469446962.0,2305212375850.0,525623527645.0,482381388582.0,10243304781.0,4645497174.0,396058475355.0,500000000000.0,2017,4
3696198875297.0,436084366312.0,13345895870.0,202259367089.0,2796780040.0,209533131.0,1719918901622.0,2865575084285.0,65337426674.0,830623791012.0,2338859584493.0,526715499792.0,136100955700.0,10377248505.0,36080982693.0,394908475355.0,500000000000.0,2018,1
3277397314408.0,439356930267.0,13495595666.0,111709660720.0,-734635659180.0,-685418685967.0,1550531952806.0,3181192947322.0,89307061500.0,96172631832.0,2653561826494.0,527631120828.0,373490937432.0,10515578688.0,42569918330.0,394958475355.0,500000000000.0,2018,2
2545849963536.0,274172705703.0,13576364032.0,333702645521.0,-33039623537.0,3478962195.0,1338130814663.0,2482829719981.0,60015065130.0,62988508301.0,1955115164506.0,527714555475.0,493493866739.0,11390972287.0,88521958648.0,141018155322.0,500000000000.0,2018,3
2394546120849.0,268913730925.0,15245883427.0,380532880931.0,27504039851.0,29057173521.0,1094199057841.0,2304146337443.0,126811434956.0,90368048152.0,1776888347321.0,527257990122.0,369523903145.0,7995132269.0,12159972744.0,137968155322.0,500000000000.0,2018,4
2645328776974.0,272507071180.0,16227465036.0,198218414671.0,350634695.0,2266020085.0,1039321182279.0,2625689705509.0,235375925148.0,19607336211.0,1894128829352.0,731560876157.0,137883027225.0,8756514381.0,28021444182.0,134980876722.0,362853767131.0,2019,1
2706331144923.0,295571441262.0,15634590037.0,101361756981.0,-319798890128.0,-313762794705.0,879882141360.0,2660928469421.0,199770848410.0,45370940248.0,1929404158616.0,731524310805.0,327485411470.0,11711104875.0,28512009488.0,137502490754.0,363273767131.0,2019,2
