totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
227539863333.0,19446346370.0,10474757737.0,71800655976.0,2713719167.0,2162975334.0,34341957093.0,138285992714.0,51788472686.0,89253870619.0,138285992714.0,0,55616557514.0,942311772.0,0,0,0,2017,1
266610425885.0,18842050091.0,12124128051.0,122205163096.0,4108747334.0,3258250989.0,37990322208.0,177811879277.0,93847774085.0,88798546608.0,177811879277.0,0,103088485969.0,1096310528.0,0,0,0,2017,2
268607069795.0,19477066810.0,11797813920.0,68347326107.0,1612692270.0,1286311016.0,41599174411.0,178522212171.0,102848743422.0,90084857624.0,178522212171.0,0,52233568714.0,1089751957.0,0,0,0,2017,3
278218074061.0,20434109245.0,11792669726.0,137855889383.0,10867505918.0,8573156475.0,32637177090.0,179560059962.0,104218416418.0,98658014099.0,179560059962.0,0,105075002713.0,1123250311.0,0,0,0,2017,4
213786356400.0,19786497706.0,11685362178.0,49387191746.0,328549273.0,269973104.0,35219013253.0,117940244478.0,59981350574.0,95846111922.0,117940244478.0,0,36018827267.0,1170148845.0,0,0,0,2018,1
239654086623.0,19341454069.0,11530613337.0,85900777816.0,74755538.0,67453090.0,37201034012.0,152016587611.0,45572854406.0,87637499012.0,152016587611.0,0,61147699792.0,1189919978.0,0,0,0,2018,2
235653105162.0,18544023046.0,11161086996.0,89153008369.0,8170287052.0,6537455959.0,33449734588.0,141478150191.0,64649102966.0,94174954971.0,141478150191.0,0,62506414049.0,1166957364.0,0,0,0,2018,3
290975814578.0,18454145421.0,10791560655.0,155824329108.0,10241298837.0,7690652210.0,28114557220.0,189110207397.0,86295430029.0,101865607181.0,189110207397.0,0,114338275855.0,1178128511.0,0,0,0,2018,4
240772295556.0,17857739647.0,10424162184.0,53766651145.0,938676494.0,726941195.0,29360006793.0,140235577658.0,81131635781.0,100536717898.0,140235577658.0,0,40769073018.0,1174535245.0,0,0,0,2019,1
235631155211.0,17122020451.0,10241322571.0,59248461062.0,1406842875.0,1137078448.0,34040358261.0,142233424865.0,60164147284.0,93397730346.0,142233424865.0,0,38530472213.0,1145508143.0,0,14196036576.0,0,2019,2
253043992431.0,18583506648.0,11141576764.0,102584388744.0,11923564796.0,9876923377.0,29755529468.0,149769338708.0,47377118058.0,103274653723.0,149769338708.0,0,72359435166.0,1235359610.0,0,14196036576.0,0,2019,3
313648796052.0,19470573019.0,11841578844.0,172183783828.0,8779214495.0,5281011911.0,19733301032.0,205093130418.0,93001091226.0,108555665634.0,205093130418.0,0,122033306694.0,1352713822.0,0,10696036576.0,0,2019,4
240497487243.0,18746368620.0,11867324893.0,42409110909.0,1546609231.0,1235287385.0,25343390629.0,130809576182.0,76052875985.0,109687911061.0,130809576182.0,0,28554106020.0,1386380350.0,0,14869592768.0,0,2020,1
276245118405.0,18557437936.0,11608204576.0,99815793774.0,7118051345.0,6181314256.0,25462165040.0,172793172288.0,69761524635.0,103451946117.0,172793172288.0,0,72944008008.0,1242365674.0,0,9748445907.0,0,2020,2
338536174602.0,20079705384.0,11600194259.0,133114171662.0,8669291190.0,6947204552.0,27692782971.0,228137023933.0,51407833368.0,110399150669.0,228137023933.0,0,107437439443.0,1340865393.0,0,7748445907.0,0,2020,3
319873647329.0,17536908905.0,10086455910.0,128441243770.0,6730440698.0,5256913788.0,20722374470.0,204217582872.0,73826698434.0,115656064457.0,204217582872.0,0,91736286482.0,6004988774.0,0,10601.0,0,2020,4
251016060801.0,16636238181.0,9879335025.0,35417291046.0,3064518848.0,2438946651.0,27011259610.0,132921874529.0,29921964031.0,118094186272.0,132921874529.0,0,22540987172.0,1098548247.0,0,21212164980.0,0,2021,1
254286186261.0,15776420819.0,9672214140.0,67230814146.0,2203298017.0,1755438414.0,29960045304.0,134436561575.0,19718420702.0,119849624686.0,134436561575.0,0,46283144769.0,1099638247.0,108827177.0,24333267883.0,0,2021,2
244582922162.0,14883358457.0,9465093255.0,17571210054.0,1039471828.0,904458742.0,32643022382.0,134740904734.0,31985887751.0,109842017428.0,134740904734.0,0,11762310283.0,1100183247.0,127992813.0,27047290197.0,0,2021,3
328401754494.0,10432712360.0,9643958257.0,191982302430.0,19097250730.0,15181052100.0,21144383118.0,203378684966.0,39993379842.0,125023069528.0,203378684966.0,0,136015508536.0,4987811751.0,147109406.0,17400276571.0,0,2021,4
248890272906.0,9879820240.0,9195280489.0,40679817719.0,2378591664.0,1958673331.0,26139062490.0,122042603278.0,8052171386.0,126847669628.0,122042603278.0,0,26563811639.0,923661888.0,116921150.0,25391874046.0,0,2022,1
274378982234.0,9288877232.0,8960668997.0,78950180277.0,6868974991.0,5523208636.0,26396995837.0,144734103970.0,18748803524.0,129644878264.0,144734103970.0,0,53458692888.0,908636321.0,133723425.0,34201987039.0,0,2022,2
262932304624.0,8614852454.0,8762363008.0,48724508423.0,2582112554.0,1818612752.0,29988901428.0,131468813608.0,10350602336.0,131463491016.0,131468813608.0,0,31564213829.0,872330767.0,141516505.0,25712662200.0,0,2022,3
262932304624.0,8614852454.0,8762363008.0,48724508423.0,2582112554.0,1818612752.0,29988901428.0,131468813608.0,10350602336.0,131463491016.0,131468813608.0,0,31564213829.0,872330767.0,141516505.0,25712662200.0,0,2022,4
