totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
304336647955.0,29024883366.0,1322444193.0,34794081630.0,0,341095067.0,66866120935.0,258328820957.0,0,33603385290.0,241853822011.0,16474998946.0,28827188760.0,0,284384191.0,26381003108.0,16474998946.0,2017,1
304336647955.0,29024883366.0,1322444193.0,34794081630.0,0,341095067.0,66866120935.0,258328820957.0,0,33603385290.0,241853822011.0,16474998946.0,28827188760.0,0,284384191.0,26381003108.0,16474998946.0,2017,2
304336647955.0,29024883366.0,1322444193.0,34794081630.0,0,341095067.0,66866120935.0,258328820957.0,0,33603385290.0,241853822011.0,16474998946.0,28827188760.0,0,284384191.0,26381003108.0,16474998946.0,2017,3
256780736285.0,24241862829.0,591708916.0,34794081630.0,0,341095067.0,55778129858.0,210075594715.0,0,30871885269.0,196638739844.0,13436854871.0,28827188760.0,0,284384191.0,31378446106.0,13436854871.0,2017,4
256780736285.0,24241862829.0,591708916.0,34794081630.0,0,341095067.0,55778129858.0,210075594715.0,0,30871885269.0,196638739844.0,13436854871.0,28827188760.0,0,284384191.0,31378446106.0,13436854871.0,2018,1
256780736285.0,24241862829.0,591708916.0,34794081630.0,0,341095067.0,55778129858.0,210075594715.0,0,30871885269.0,196638739844.0,13436854871.0,28827188760.0,0,284384191.0,31378446106.0,13436854871.0,2018,2
256780736285.0,24241862829.0,591708916.0,34794081630.0,0,341095067.0,55778129858.0,210075594715.0,0,30871885269.0,196638739844.0,13436854871.0,28827188760.0,0,284384191.0,31378446106.0,13436854871.0,2018,3
237424641733.0,22073378313.0,128576200.0,34794081630.0,0,341095067.0,48746893343.0,191916703371.0,0,29258603743.0,181556358500.0,10360344871.0,28827188760.0,0,284384191.0,27746402938.0,10360344871.0,2018,4
237424641733.0,22073378313.0,128576200.0,34794081630.0,0,341095067.0,48746893343.0,191916703371.0,0,29258603743.0,181556358500.0,10360344871.0,28827188760.0,0,284384191.0,27746402938.0,10360344871.0,2019,1
237424641733.0,22073378313.0,128576200.0,34794081630.0,0,341095067.0,48746893343.0,191916703371.0,0,29258603743.0,181556358500.0,10360344871.0,28827188760.0,0,284384191.0,27746402938.0,10360344871.0,2019,2
237424641733.0,22073378313.0,128576200.0,34794081630.0,0,341095067.0,48746893343.0,191916703371.0,0,29258603743.0,181556358500.0,10360344871.0,28827188760.0,0,284384191.0,27746402938.0,10360344871.0,2019,3
238685997682.0,21545031943.0,299783892.0,34794081630.0,0,341095067.0,43687372232.0,190074183384.0,0,30077824130.0,181912530488.0,8161652896.0,28827188760.0,0,284384191.0,17290723613.0,8161652896.0,2019,4
238685997682.0,21545031943.0,299783892.0,34794081630.0,0,341095067.0,43687372232.0,190074183384.0,0,30077824130.0,181912530488.0,8161652896.0,28827188760.0,0,284384191.0,17290723613.0,8161652896.0,2020,1
238685997682.0,21545031943.0,299783892.0,34794081630.0,0,341095067.0,43687372232.0,190074183384.0,0,30077824130.0,181912530488.0,8161652896.0,28827188760.0,0,284384191.0,17290723613.0,8161652896.0,2020,2
238685997682.0,21545031943.0,299783892.0,34794081630.0,0,341095067.0,43687372232.0,190074183384.0,0,30077824130.0,181912530488.0,8161652896.0,28827188760.0,0,284384191.0,17290723613.0,8161652896.0,2020,3
246904398231.0,19873450923.0,539082598.0,34794081630.0,0,341095067.0,43168694408.0,201485802984.0,0,28707368300.0,195653422088.0,5832380896.0,28827188760.0,0,284384191.0,24797731100.0,5832380896.0,2020,4
246904398231.0,19873450923.0,539082598.0,34794081630.0,0,341095067.0,43168694408.0,201485802984.0,0,28707368300.0,195653422088.0,5832380896.0,28827188760.0,0,284384191.0,24797731100.0,5832380896.0,2021,1
246904398231.0,19873450923.0,539082598.0,34794081630.0,0,341095067.0,43168694408.0,201485802984.0,0,28707368300.0,195653422088.0,5832380896.0,28827188760.0,0,284384191.0,24797731100.0,5832380896.0,2021,2
246904398231.0,19873450923.0,539082598.0,34794081630.0,0,341095067.0,43168694408.0,201485802984.0,0,28707368300.0,195653422088.0,5832380896.0,28827188760.0,0,284384191.0,24797731100.0,5832380896.0,2021,3
187529631492.0,18341449957.0,314408598.0,34794081630.0,0,341095067.0,40998201432.0,134876140552.0,0,29476008843.0,131023759656.0,3852380896.0,28827188760.0,0,284384191.0,19478376001.0,3852380896.0,2021,4
187529631492.0,18341449957.0,314408598.0,34794081630.0,0,341095067.0,40998201432.0,134876140552.0,0,29476008843.0,131023759656.0,3852380896.0,28827188760.0,0,284384191.0,19478376001.0,3852380896.0,2022,1
187529631492.0,18341449957.0,314408598.0,34794081630.0,0,341095067.0,40998201432.0,134876140552.0,0,29476008843.0,131023759656.0,3852380896.0,28827188760.0,0,284384191.0,19478376001.0,3852380896.0,2022,2
187529631492.0,18341449957.0,314408598.0,34794081630.0,0,341095067.0,40998201432.0,134876140552.0,0,29476008843.0,131023759656.0,3852380896.0,28827188760.0,0,284384191.0,19478376001.0,3852380896.0,2022,3
187529631492.0,18341449957.0,314408598.0,34794081630.0,0,341095067.0,40998201432.0,134876140552.0,0,29476008843.0,131023759656.0,3852380896.0,28827188760.0,0,284384191.0,19478376001.0,3852380896.0,2022,4
