totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
608599371946.0,14062820557.0,0,419026810374.0,25072925478.0,20058340382.0,216202610973.0,122992815638.0,160925852953.0,485606556308.0,122992815638.0,0,343310821278.0,2789972251.0,0,0,0,2017,1
610821786668.0,11272848305.0,0,284187060187.0,17725325464.0,14180260371.0,221498301456.0,152723550344.0,193973692184.0,458098236324.0,152723550344.0,0,193442852294.0,2789972252.0,0,0,0,2017,2
607130236129.0,11272848305.0,0,210393321789.0,7784982897.0,6227986318.0,229309044222.0,142804013487.0,191682064525.0,464326222642.0,142804013487.0,0,168788561378.0,0,0,0,0,2017,3
656219818290.0,12919956211.0,0,29564493044.0,21667912582.0,17235857180.0,375174614058.0,173033958399.0,91978902527.0,483185859891.0,173033958399.0,0,13746372047.0,1983000.0,0,0,0,2017,4
598664520396.0,11823585343.0,0,451266304407.0,26503694448.0,21202955558.0,169891608834.0,94299195082.0,148832688995.0,504365325314.0,94299195082.0,0,371316104522.0,2528020868.0,0,0,0,2018,1
625751333613.0,11619452770.0,0,230998397810.0,20910173127.0,16728138502.0,230105893654.0,155150337397.0,173688888999.0,470600996216.0,155150337397.0,0,160182806016.0,204132573.0,0,0,0,2018,2
582347445705.0,13566192014.0,0,152730210149.0,13937696039.0,11150156831.0,233157590718.0,100596292658.0,156262204310.0,481751153047.0,100596292658.0,0,135827029047.0,1317260756.0,0,0,0,2018,3
638214321640.0,14301360476.0,0,110622475881.0,-2453623022.0,-2133627307.0,325921960367.0,158561586733.0,88399395772.0,479652734907.0,158561586733.0,0,81347257696.0,1336511538.0,0,0,0,2018,4
600123036804.0,15443857459.0,0,313234132808.0,10767248400.0,7873156041.0,229826985405.0,112294035735.0,48902690523.0,487829001069.0,112294035735.0,0,244325571573.0,1344913017.0,0,0,0,2019,1
599131094713.0,14169294850.0,0,232656688860.0,4008136876.0,2543964567.0,268946163993.0,150677027077.0,42250393538.0,448454067636.0,150677027077.0,0,174044381279.0,1274562609.0,0,0,0,2019,2
564608501236.0,13059685010.0,0,100735259681.0,11786202691.0,3816211698.0,287640904303.0,123585828480.0,14826605133.0,441022672756.0,123585828480.0,0,87066439041.0,659609840.0,220703093.0,0,0,2019,3
572102825182.0,14344436798.0,0,145912634689.0,-8594990300.0,-2270464054.0,307940679046.0,127961631473.0,26704647662.0,444141193709.0,127961631473.0,0,109174479660.0,1722360842.0,142757981.0,0,0,2019,4
535359428795.0,13691867678.0,0,265887702247.0,9013569734.0,7210855787.0,213461823695.0,83988179299.0,15544894718.0,451371249496.0,83988179299.0,0,209134585912.0,1211933420.0,0,0,0,2020,1
564254987601.0,12470974295.0,0,206400423324.0,4989193460.0,3991354768.0,202972646336.0,117738482397.0,53377879527.0,446516505204.0,117738482397.0,0,152629187092.0,1220893383.0,0,0,0,2020,2
568546805652.0,11250080912.0,0,124304866471.0,5367816469.0,4294253175.0,258081397686.0,117736047273.0,52879200716.0,450810758379.0,117736047273.0,0,98671304793.0,1220893383.0,0,0,0,2020,3
587059105257.0,10038480961.0,228677502.0,148653290537.0,7669100928.0,6116213678.0,285975747209.0,130132133200.0,41136800745.0,456926972057.0,130132133200.0,0,108596515491.0,1265822449.0,0,0,0,2020,4
555321204293.0,9100269418.0,232789813.0,306351450789.0,10044651007.0,8005677659.0,183751762556.0,90443869229.0,99544088140.0,464877335064.0,90443869229.0,0,237903911932.0,965003211.0,0,0,0,2021,1
593098383522.0,8377647403.0,205998145.0,285886597861.0,10065348108.0,8052278487.0,131169053620.0,142924300391.0,152049596712.0,450174083131.0,142924300391.0,0,213395096662.0,749413683.0,0,0,0,2021,2
569301743250.0,8486429719.0,317647336.0,99826493346.0,6086143197.0,4868914556.0,209010639084.0,114258745563.0,128207917586.0,455042997687.0,114258745563.0,0,79514243698.0,878768493.0,0,0,0,2021,3
666614848262.0,11870351151.0,336163684.0,146971496689.0,8816832956.0,7053466366.0,326327725085.0,203303815310.0,135332039404.0,463311032952.0,203303815310.0,0,117862264313.0,1306958666.0,0,0,0,2021,4
641896199758.0,10894160619.0,296872015.0,387919639324.0,22615153860.0,18052649184.0,224383575817.0,160532517622.0,231299305695.0,481363682136.0,160532517622.0,0,279578377999.0,1015482201.0,0,0,0,2022,1
636805733107.0,9830136387.0,249505083.0,266902357328.0,12553379526.0,10010266233.0,236073502122.0,172865919646.0,162653690176.0,463939813461.0,172865919646.0,0,191295370746.0,994308776.0,0,0,0,2022,2
610433440183.0,8885704098.0,211213416.0,113939137086.0,4900754381.0,3918745473.0,266685368307.0,142574881249.0,75699184352.0,467858558934.0,142574881249.0,0,95321340404.0,998518945.0,0,0,0,2022,3
610433440183.0,8885704098.0,211213416.0,113939137086.0,4900754381.0,3918745473.0,266685368307.0,142574881249.0,75699184352.0,467858558934.0,142574881249.0,0,95321340404.0,998518945.0,0,0,0,2022,4
