totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
1323419718076.0,56968722858.0,773237135.0,238545787918.0,2811990919.0,2249603348.0,435786437047.0,1143315610189.0,43486769169.0,180104107887.0,1090265530658.0,53050079531.0,225121568890.0,2170190153.0,6041371391.0,241686058593.0,0,2017,1
1330607144942.0,57505940821.0,575338590.0,275336135523.0,1876675621.0,1495329880.0,421247613532.0,1149076707175.0,53724439285.0,181530437767.0,1096360275943.0,52716431232.0,264336917813.0,2363526897.0,5691514812.0,239378132492.0,0,2017,2
1466076386633.0,58068876092.0,571918206.0,268570271761.0,6714483636.0,4817729804.0,484678442995.0,1279797219062.0,42221534745.0,186279167571.0,1227080787830.0,52716431232.0,249593120836.0,2353694787.0,5617122750.0,218443726099.0,0,2017,3
1684398258842.0,55525886359.0,568497823.0,280902078429.0,14596376687.0,647552677.0,675775634530.0,1494006664536.0,107204920176.0,190391594306.0,1441572300747.0,52434363789.0,256317030818.0,9172649687.0,6157370115.0,413821995318.0,0,2017,4
1681966099662.0,53216456433.0,565151795.0,336290839910.0,1241330662.0,680454363.0,678568781919.0,1504971004303.0,30034629076.0,176995095359.0,1288875517969.0,216095486334.0,336061223428.0,1734826611.0,6773052291.0,304351550160.0,164380000000.0,2018,1
1558389010258.0,47615027977.0,561768590.0,472503110191.0,3654018105.0,2547359920.0,544606590090.0,1378961154066.0,36144445761.0,179427856192.0,1163199316032.0,215761838034.0,458491802461.0,2627815245.0,12377895681.0,307986542798.0,164380000000.0,2018,2
1499537721802.0,47524478751.0,558348206.0,295593704440.0,2408230009.0,1579891759.0,508483608129.0,1317398895675.0,28622069679.0,182138826127.0,1101406111428.0,215992784247.0,283445756370.0,2157439377.0,8026639223.0,298697174759.0,164380000000.0,2018,3
1573302809647.0,46665379612.0,554927823.0,283155051246.0,4774633833.0,3253926370.0,546304178085.0,1387985503811.0,92522756004.0,185317305836.0,1172890962377.0,215094541434.0,265035111324.0,2173537046.0,8106383165.0,316326766742.0,164380000000.0,2018,4
1446641868868.0,45014739182.0,551581795.0,270257700370.0,1869225153.0,1181002487.0,533488101951.0,1271772868462.0,9116088722.0,174869000406.0,1270797220517.0,975647945.0,255371160253.0,33103432406.0,7655856498.0,485848843431.0,0,2019,1
1375109536438.0,43346906253.0,548198590.0,270090880700.0,2970665542.0,-5708562914.0,436215296851.0,1195423418946.0,8963861833.0,179686117492.0,1194447771001.0,975647945.0,254339616149.0,2160863245.0,7851776757.0,458368308107.0,0,2019,2
1404023716597.0,42016613935.0,542146516.0,211698094607.0,5490913615.0,5350271912.0,457290879852.0,1229513007193.0,29343360573.0,174510709404.0,1228537359248.0,975647945.0,195415967182.0,1596041192.0,1967649584.0,530843883997.0,0,2019,3
1428592508860.0,40633523805.0,536094442.0,322456802901.0,898692378.0,1204004713.0,450345144300.0,1252877794743.0,18114820056.0,175714714117.0,1251902146798.0,975647945.0,308645528857.0,1116751538.0,7461013811.0,567643133305.0,0,2019,4
1362615666081.0,38899149867.0,527382793.0,162643097011.0,201964537.0,121261889.0,435746400222.0,1187896019202.0,12504789958.0,174719646879.0,1186701049776.0,1194969426.0,149186195991.0,1992302727.0,7846235840.0,548379927492.0,0,2020,1
1331662042439.0,36033471274.0,523990293.0,311825150003.0,-13853925152.0,-13773222504.0,330947981453.0,1170715618064.0,3824000808.0,160946424375.0,1169739970119.0,975647945.0,315848357345.0,1715575707.0,7123439988.0,500041165860.0,0,2020,2
1231675053417.0,34529889798.0,517938219.0,126966816313.0,-2226067503.0,-2226067503.0,335199759863.0,1072954696545.0,3760487279.0,158720356872.0,1071979048600.0,975647945.0,119873511481.0,8435474190.0,5458918165.0,436576523139.0,0,2020,3
1258892981853.0,33114166202.0,511886144.0,147730681963.0,-4994450291.0,-5059948271.0,357680534082.0,1105232573252.0,3575295915.0,153660408601.0,1104256925307.0,975647945.0,141337991644.0,1670992811.0,4840237410.0,430603831351.0,0,2020,4
1140850321226.0,31772024876.0,505916974.0,41292340645.0,1105920985.0,128002440.0,359243959450.0,987061910185.0,23988838171.0,153788411041.0,986086262240.0,975647945.0,31813471504.0,1593913702.0,4484573809.0,414109187608.0,0,2021,1
1115770857923.0,30485726084.0,499881481.0,58042591877.0,-6915712943.0,-7052034688.0,344373385001.0,969034481570.0,22705519827.0,146736376353.0,968058833625.0,975647945.0,60433352347.0,1535820621.0,5066345635.0,395398266425.0,0,2021,2
1014969458976.0,28903941322.0,496472265.0,16697869229.0,-76429713082.0,-76429713082.0,282499753309.0,944662795705.0,298831587.0,70306663271.0,943782074244.0,880721461.0,85649263946.0,1469672245.0,5416878119.0,388390166623.0,0,2021,3
1177879360530.0,27707242963.0,493122886.0,93848733542.0,84824091973.0,85044927375.0,260604373820.0,1168312796626.0,3858780839.0,9566563904.0,1168187781376.0,125015250.0,-5408164411.0,19310771633.0,19189027984.0,478328597992.0,0,2021,4
1144844448973.0,26543109299.0,489846319.0,57490316309.0,312827990.0,250262392.0,250565171963.0,1135027622677.0,16580584298.0,9816826296.0,1027195622677.0,107832000000.0,51334060285.0,1216577946.0,3835905416.0,400584597992.0,0,2022,1
1145316783180.0,25368953023.0,486533346.0,133417963141.0,-7984134800.0,-7921569202.0,238224613425.0,1143421526086.0,5311764708.0,1895257094.0,1007218312372.0,136203213714.0,124179992398.0,1227183272.0,11790310423.0,315030527944.0,14740535714.0,2022,2
1146725863663.0,21500314795.0,483183967.0,25295482656.0,-238470504.0,-238470504.0,245215552928.0,1145069077073.0,4034116750.0,1656786590.0,988238525447.0,156830551626.0,24769299830.0,1100996645.0,8603747779.0,297941368716.0,20604873626.0,2022,3
1146725863663.0,21500314795.0,483183967.0,25295482656.0,-238470504.0,-238470504.0,245215552928.0,1145069077073.0,4034116750.0,1656786590.0,988238525447.0,156830551626.0,24769299830.0,1100996645.0,8603747779.0,297941368716.0,20604873626.0,2022,4
