totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
856935323577.0,614708849823.0,4707668845.0,112594783565.0,-15583635433.0,-15583635433.0,60486010374.0,749494992085.0,879710852.0,107440331492.0,386061722804.0,363433269281.0,111195202356.0,12490967598.0,14003103433.0,255838953145.0,363433269281.0,2017,1
859034853221.0,604937302595.0,4599269998.0,184864716171.0,15350847813.0,15350847813.0,60335724634.0,736243673916.0,874131830.0,122791179305.0,429810404635.0,306433269281.0,153225354166.0,8765648940.0,14147923837.0,285477142917.0,306433269281.0,2017,2
879237367652.0,592556621915.0,4490871151.0,121826555013.0,-5785406904.0,-5091068862.0,59587672924.0,761537257209.0,2160643596.0,117700110443.0,398194897019.0,363342360190.0,110694028729.0,16218082628.0,13453769584.0,226490091792.0,363342360190.0,2017,3
892942431603.0,580275961262.0,4382472304.0,179300033529.0,17674965319.0,17674965319.0,92538333587.0,752810474350.0,2831716360.0,140131957253.0,504468114160.0,248342360190.0,144303535641.0,12472583589.0,13503718335.0,309420082213.0,248342360190.0,2017,4
966640217777.0,568463847820.0,4274073457.0,128508210190.0,-7640740125.0,-7640740125.0,82870738684.0,834233454917.0,613572165.0,132406762860.0,585891094727.0,248342360190.0,121037495295.0,12491467628.0,12554649871.0,315980590589.0,248342360190.0,2018,1
923372630925.0,556775058256.0,4177326223.0,222127742904.0,5860471553.0,5860471553.0,62987741431.0,785105396512.0,363833578.0,138267234413.0,598763036322.0,186342360190.0,197378168444.0,9590081842.0,12776278221.0,342996423728.0,186342360190.0,2018,2
935217017455.0,544461851962.0,4094127376.0,203812156898.0,2469301014.0,2757364038.0,80143216865.0,794192419004.0,4847194926.0,141024598451.0,545850058814.0,248342360190.0,178323894575.0,15379361002.0,12004173121.0,277488593359.0,248342360190.0,2018,3
747621485389.0,534601464718.0,4010928529.0,281515205527.0,3735580176.0,2921115820.0,65330636672.0,603339029509.0,5076251222.0,144282455880.0,451283903460.0,152055126049.0,224950068972.0,12321149057.0,11817969075.0,334989659233.0,152055126049.0,2018,4
716556573431.0,526777307506.0,3927729682.0,183467613654.0,-7086684118.0,-7086684118.0,60780222290.0,577180370824.0,363563514.0,139376202607.0,425125244775.0,152055126049.0,170547336694.0,12407556791.0,11643976500.0,328988846773.0,152055126049.0,2019,1
724426322438.0,514513946878.0,3844530835.0,185315783852.0,6759522721.0,6759522721.0,87081355480.0,578290597110.0,343247679.0,146135725328.0,507235471061.0,71055126049.0,161086727639.0,11661120579.0,9280256830.0,366978145101.0,71055126049.0,2019,2
699745464178.0,502250586250.0,3761331988.0,244699213460.0,3181375862.0,2618904550.0,80261123462.0,550990834300.0,1529895658.0,148754629878.0,398935708251.0,152055126049.0,215627708826.0,13199046549.0,9589203491.0,277281039953.0,152055126049.0,2019,3
661958626512.0,489988466563.0,3678133141.0,243454282145.0,3137663332.0,1984133043.0,49740571875.0,508589875356.0,2285317291.0,153368751156.0,508589875356.0,0,215682827539.0,12428842623.0,9338442169.0,384703867593.0,0,2019,4
717820460829.0,479750148714.0,3594934294.0,189203797748.0,-1294819248.0,-1294819248.0,100713958726.0,565199731676.0,1588108191.0,152620729153.0,527785495932.0,37414235744.0,178483531793.0,12485874117.0,7932699318.0,380832120061.0,0,2020,1
700487838562.0,468277116003.0,3511735447.0,248052578527.0,10381840831.0,8502527001.0,80668135347.0,539364582408.0,1343409740.0,161123256154.0,480116491438.0,59248090970.0,218537450014.0,12506092011.0,8676952914.0,314597776308.0,58328712500.0,2020,2
679686613056.0,456130850491.0,3428536600.0,242976695092.0,7167304053.0,4423054782.0,61598474067.0,512913356645.0,3470853958.0,166773256411.0,425617572235.0,87295784410.0,220204368982.0,12412988448.0,8060208860.0,261410454698.0,58328712500.0,2020,3
647102953724.0,444674997223.0,3345337753.0,260077182249.0,13791207200.0,10974253434.0,35214315746.0,469355443879.0,4069337277.0,177747509845.0,436067966029.0,33287477850.0,225523120381.0,12345576204.0,6477901564.0,326362953195.0,32328712500.0,2020,4
672195447958.0,447768985878.0,3262138906.0,170666285382.0,5085560778.0,4068448622.0,46811481385.0,493864576779.0,286647008.0,178330871179.0,449157405489.0,44707171290.0,157336723793.0,12453812463.0,5772940392.0,318323072663.0,32328712500.0,2021,1
637318462158.0,435451045068.0,3178940059.0,194053263722.0,10606686660.0,8445946985.0,52840002569.0,450541643994.0,451715051.0,186776818164.0,443214779264.0,7326864730.0,172080556902.0,12918232307.0,6133522567.0,331998063386.0,6328712500.0,2021,2
648520770845.0,422929746370.0,3095741212.0,211968220530.0,3679898382.0,3205562587.0,40122435961.0,458721010800.0,259839038.0,189799760045.0,428174452630.0,30546558170.0,196875107878.0,12685137943.0,6028360459.0,331389573873.0,6328712500.0,2021,3
644037916169.0,411374841960.0,3012542365.0,248023789114.0,17558907333.0,14044530630.0,44136561588.0,440193625494.0,307162890.0,203844290675.0,428084102384.0,12109523110.0,218988082768.0,12706574673.0,5800889406.0,323286619320.0,11071984000.0,2021,4
687176881440.0,399080916587.0,2929343518.0,151300864296.0,-4133967415.0,-4133967415.0,53427307455.0,489671135032.0,1088516797.0,197505746408.0,475262059555.0,14409075477.0,147138125085.0,12748648309.0,5563591125.0,322979511133.0,8857584000.0,2022,1
634438996822.0,405953373003.0,2846144671.0,206996003588.0,-205889663.0,-205889663.0,85787086387.0,437139140077.0,266038408.0,197299856745.0,428323312233.0,8815827844.0,195871507566.0,12937491559.0,5468885385.0,306296111140.0,7750384000.0,2022,2
