totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
35664301331.0,3590388933.0,0,3225582158.0,0,456501993.0,8262125513.0,18127684377.0,4064863698.0,17536616954.0,18127684377.0,0,1925694244.0,0,29051296.0,296178175.0,0,2017,1
36199788748.0,3411525340.0,0,20903155218.0,0,234727288.0,7585757919.0,20889594894.0,2190633778.0,15310193854.0,20889594894.0,0,19912031532.0,0,34484253.0,5710191497.0,0,2017,2
28837512523.0,3234192035.0,0,13058577055.0,0,138350332.0,4129209419.0,13388968337.0,2967801682.0,15448544186.0,13388968337.0,0,12306014521.0,0,18700634.0,307605982.0,0,2017,3
28953965527.0,3258210938.0,0,8181508325.0,0,202557582.0,3319504361.0,13302863759.0,4885372393.0,15651101768.0,13302863759.0,0,7931343621.0,0,7104673.0,0,0,2017,4
26691072205.0,3157029841.0,0,4097767170.0,0,105209658.0,4619645121.0,10959235522.0,6070892861.0,15731836683.0,10959235522.0,0,3581330485.0,0,5512500.0,320236875.0,0,2018,1
27493469423.0,3009723744.0,0,14698313555.0,0,356272522.0,907019341.0,12623362250.0,4793006942.0,14870107173.0,12623362250.0,0,12784969755.0,0,5666414.0,0,0,2018,2
27709551299.0,2866453801.0,0,6588114546.0,0,255525094.0,2110129108.0,12583919032.0,4531846037.0,15125632267.0,12583919032.0,0,5315729240.0,0,4102605.0,0,0,2018,3
27878596680.0,2765986203.0,0,4843187637.0,0,-124046633.0,1086658378.0,12877011046.0,11458263946.0,15001585634.0,12877011046.0,0,3804370392.0,0,3559378.0,0,0,2018,4
26174301096.0,2619518605.0,0,873220950.0,0,24570508.0,2686910720.0,11205863831.0,6942677880.0,14968437265.0,11205863831.0,0,671941926.0,0,0,0,0,2019,1
27750828776.0,2544760117.0,0,8089059501.0,0,363077051.0,895362002.0,12922441718.0,7485605015.0,14828387058.0,12476626419.0,445815299.0,7290429181.0,0,0,0,0,2019,2
27309019508.0,2394518355.0,0,1005494277.0,0,11367489.0,4877883636.0,12469264961.0,8795265360.0,14839754547.0,12469264961.0,0,922826897.0,0,0,0,0,2019,3
26185205777.0,2039836412.0,0,11030974165.0,0,125902011.0,561520912.0,11219549219.0,9242806699.0,14965656558.0,11219549219.0,0,10102397449.0,0,0,0,0,2019,4
23331679816.0,1907858832.0,0,3642203797.0,0,-76952231.0,645407314.0,8442975489.0,7125225821.0,14888704327.0,7912930169.0,530045320.0,3010425055.0,0,0,0,0,2020,1
26521402640.0,1847051600.0,0,800361462.0,0,227778868.0,3315461536.0,11898341480.0,4657076004.0,14623061160.0,11389669533.0,508671947.0,648693090.0,0,0,0,0,2020,2
40416556042.0,1828717550.0,0,3256926144.0,0,-226153699.0,6239274534.0,26019648581.0,10141724046.0,14396907461.0,25474684254.0,544964327.0,3232091350.0,0,0,0,0,2020,3
59060660718.0,2220038196.0,0,33036661809.0,0,343747327.0,9834967270.0,44320005930.0,8813769033.0,14740654788.0,43824665614.0,495340316.0,31344506682.0,0,30968768.0,3800190833.0,0,2020,4
63144012147.0,3468489173.0,0,1432974099.0,0,55300512.0,17327480988.0,48348149343.0,5759987003.0,14795862804.0,47043858052.0,1304291291.0,1260444284.0,0,124810535.0,13721087106.0,800000000.0,2021,1
50294142804.0,7277473196.0,0,25371709957.0,0,251816250.0,19952797143.0,35318912247.0,2122603819.0,14975230557.0,33859096814.0,1459815433.0,23961968402.0,0,194244982.0,4882856347.0,600000000.0,2021,2
52204556704.0,7067215005.0,0,22203325021.0,0,186324260.0,8584027609.0,37043001887.0,840461305.0,15161554817.0,35473642792.0,1569359095.0,19990802749.0,0,215978479.0,10584809393.0,600000000.0,2021,3
52623133407.0,6898571397.0,0,26578018052.0,0,374021297.0,9217461928.0,37087557293.0,3814093730.0,15535576114.0,35556018646.0,1531538647.0,26092047621.0,0,230564283.0,9784919120.0,520000000.0,2021,4
57777360454.0,6648569563.0,0,9366179850.0,0,-65221176.0,15891881726.0,42275989372.0,4644207063.0,15501371082.0,40155434058.0,2120555314.0,8722117552.0,0,233094320.0,17410536462.0,1109016667.0,2022,1
81534011596.0,7430576912.0,0,20133963866.0,0,243876318.0,33072895453.0,66096058475.0,6653949159.0,15437953121.0,64034502807.0,2061555668.0,19469096553.0,0,465692685.0,30201006600.0,869287335.0,2022,2
77527464621.0,8946223803.0,0,20445782050.0,0,-1105053305.0,24215521865.0,63194564805.0,6852258759.0,14332899816.0,60914580587.0,2279984218.0,20419890561.0,0,506678680.0,30900100521.0,799337336.0,2022,3
77527464621.0,8946223803.0,0,20445782050.0,0,-1105053305.0,24215521865.0,63194564805.0,6852258759.0,14332899816.0,60914580587.0,2279984218.0,20419890561.0,0,506678680.0,30900100521.0,799337336.0,2022,4
