totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
568384306244.0,16427924071.0,3069633788.0,192165929764.0,-7882937678.0,-7882937678.0,190160596219.0,354546237081.0,7341177200.0,213838069163.0,343609170791.0,10937066290.0,181827380337.0,764148565.0,2018019618.0,279265638812.0,0,2017,1
487222688602.0,16052465138.0,2979573644.0,124758209903.0,488746659.0,488746659.0,211156596531.0,272895872780.0,2843811767.0,214326815822.0,262936397993.0,9959474787.0,114967306987.0,766368700.0,3409485376.0,219538044331.0,0,2017,2
480856024362.0,15487715767.0,2889513500.0,111488467960.0,6274445932.0,6274445932.0,161403994053.0,260254762608.0,6766850084.0,220601261754.0,242607126317.0,17647636291.0,102934926623.0,756603161.0,1187184588.0,141979727493.0,0,2017,3
291468070938.0,14931548922.0,2799453356.0,264723706847.0,-4730298759.0,-4730298759.0,7536411316.0,75597107943.0,12752717275.0,215870962995.0,59910109204.0,15686998739.0,247124602415.0,772450754.0,3245114710.0,23576449930.0,0,2017,4
483159043248.0,10364829768.0,2732759874.0,81336328983.0,1571025998.0,1256820798.0,203703134392.0,266004602405.0,4822712025.0,217154440843.0,250972149120.0,15032453285.0,74089917321.0,693275066.0,837927697.0,205572927770.0,0,2018,1
427786881834.0,10040192011.0,2619333068.0,166046761173.0,2704322150.0,3018527350.0,164737784501.0,207613913641.0,4850207873.0,220172968193.0,191736660356.0,15877253285.0,149280267578.0,632877050.0,3073501075.0,150171901382.0,0,2018,2
332413864747.0,4367857945.0,2529272933.0,198599697315.0,3089084037.0,3089084037.0,62345753517.0,109151812517.0,4170725739.0,223262052230.0,94110559232.0,15041253285.0,193539884523.0,659824046.0,1716922099.0,54880982526.0,0,2018,3
313874514284.0,4120676242.0,2439212793.0,108344204539.0,2180861733.0,2180861733.0,44307192796.0,88431600321.0,9960887570.0,225442913963.0,75349648226.0,13081952095.0,100917499253.0,655835138.0,712375306.0,31959062815.0,0,2018,4
492029877089.0,3917528214.0,2349152652.0,137841132110.0,2103671153.0,2103671153.0,222207307948.0,264483291973.0,5433746898.0,227546585116.0,252090821698.0,12392470275.0,124886721102.0,640014461.0,844443092.0,211500301624.0,0,2019,1
486182510663.0,3734816216.0,2243183425.0,157155490711.0,1635993202.0,1357424563.0,207618415989.0,260595404971.0,3290879012.0,225587105692.0,249535726199.0,11059678772.0,153812896402.0,635487509.0,2139008491.0,207624271881.0,0,2019,2
