totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
857273815014.0,369738557326.0,13319641238.0,178832796522.0,8505746976.0,6804597581.0,218875863797.0,624601341674.0,9984890603.0,232672473340.0,468743577400.0,155857764274.0,152787615206.0,12799032767.0,10305593982.0,310410894064.0,154782440644.0,2017,1
984932517388.0,360301171735.0,13196591771.0,238952907765.0,20335314806.0,16295361263.0,259139678205.0,739519584785.0,34815450224.0,245412932603.0,442672224907.0,296847359878.0,205067690722.0,12787454758.0,8645772815.0,284856951876.0,295727036248.0,2017,2
1106420876304.0,345688207073.0,13073542304.0,255220004319.0,20383567371.0,16279744478.0,327976493216.0,904728199223.0,32361042168.0,201692677081.0,590596169308.0,314132029915.0,215068844780.0,15905218657.0,12789347140.0,369108236094.0,313011706285.0,2017,3
1098162487819.0,515729462308.0,12975159502.0,296258935403.0,804084933.0,148380454.0,338698586992.0,851459943573.0,9524092095.0,246702544246.0,567889353936.0,283570589637.0,270410852533.0,18121965493.0,14596033693.0,406637109153.0,282450266007.0,2017,4
1108033800548.0,502203065111.0,12861752134.0,207370736609.0,86131310.0,68905048.0,356875211724.0,864251477366.0,4786208919.0,243782323182.0,580572554396.0,283678922970.0,185686883485.0,17864067254.0,13998361362.0,414888592269.0,282558599340.0,2018,1
1139502015200.0,493549918595.0,13497472443.0,271780511956.0,3943419185.0,3162222345.0,426539841094.0,892706317673.0,1188598313.0,246795697527.0,702439346258.0,190266971415.0,248450539369.0,18101651730.0,15023807720.0,466963279774.0,189146647785.0,2018,2
1093778463016.0,479491846964.0,13349065752.0,356975777987.0,19577300064.0,15654353054.0,397196549791.0,831328412435.0,9466198337.0,262450050581.0,643061934840.0,188266477595.0,316391058982.0,17813158762.0,14055149995.0,474671717029.0,187146153965.0,2018,3
1017580143594.0,469767630958.0,13202676585.0,408798644746.0,31526664737.0,25102573624.0,352396878003.0,758108808965.0,40481368185.0,259471334629.0,593510592637.0,164598216328.0,352536894662.0,18327506213.0,13662594883.0,432177034648.0,163477892698.0,2018,4
1028448732085.0,455001448546.0,13057562895.0,261788097406.0,13789949672.0,11031959738.0,364890971250.0,758711940187.0,4579742489.0,269736791898.0,587197997616.0,171513942571.0,227440425754.0,17869119256.0,12222814596.0,399774792983.0,170393618941.0,2019,1
1081572408138.0,441334336451.0,12912449205.0,350474362225.0,23779993814.0,21963856607.0,378962429529.0,825068782111.0,20199562273.0,256503626027.0,653364896452.0,171703885659.0,306712640318.0,18250836344.0,13087156060.0,436691459989.0,170583562029.0,2019,2
