totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
118346107743.0,19908073426.0,137683899.0,68634264247.0,1368240116.0,-1905249304.0,13332949229.0,88779173527.0,3835966280.0,29829883702.0,87799283527.0,979890000.0,64302538290.0,1686956920.0,1485137646.0,0,0,2017,1
118346107743.0,19908073426.0,137683899.0,68634264247.0,1368240116.0,-1905249304.0,13332949229.0,88779173527.0,3835966280.0,29829883702.0,87799283527.0,979890000.0,64302538290.0,1686956920.0,1485137646.0,0,0,2017,2
118346107743.0,19908073426.0,137683899.0,68634264247.0,1368240116.0,-1905249304.0,13332949229.0,88779173527.0,3835966280.0,29829883702.0,87799283527.0,979890000.0,64302538290.0,1686956920.0,1485137646.0,0,0,2017,3
140299945039.0,20047395936.0,30000008.0,68634264247.0,1368240116.0,-1905249304.0,15305747107.0,104697807059.0,3835966280.0,33865087466.0,103213917059.0,1483890000.0,64302538290.0,1686956920.0,1485137646.0,0,0,2017,4
140299945039.0,20047395936.0,30000008.0,68634264247.0,1368240116.0,-1905249304.0,15305747107.0,104697807059.0,3835966280.0,33865087466.0,103213917059.0,1483890000.0,64302538290.0,1686956920.0,1485137646.0,0,0,2018,1
140299945039.0,20047395936.0,30000008.0,68634264247.0,1368240116.0,-1905249304.0,15305747107.0,104697807059.0,3835966280.0,33865087466.0,103213917059.0,1483890000.0,64302538290.0,1686956920.0,1485137646.0,0,0,2018,2
140299945039.0,20047395936.0,30000008.0,68634264247.0,1368240116.0,-1905249304.0,15305747107.0,104697807059.0,3835966280.0,33865087466.0,103213917059.0,1483890000.0,64302538290.0,1686956920.0,1485137646.0,0,0,2018,3
149859496365.0,31276621327.0,0,68634264247.0,1368240116.0,-1905249304.0,11917351377.0,111179904837.0,3835966280.0,34657591528.0,109169726419.0,2010178418.0,64302538290.0,1686956920.0,1485137646.0,0,0,2018,4
149859496365.0,31276621327.0,0,68634264247.0,1368240116.0,-1905249304.0,11917351377.0,111179904837.0,3835966280.0,34657591528.0,109169726419.0,2010178418.0,64302538290.0,1686956920.0,1485137646.0,0,0,2019,1
149859496365.0,31276621327.0,0,68634264247.0,1368240116.0,-1905249304.0,11917351377.0,111179904837.0,3835966280.0,34657591528.0,109169726419.0,2010178418.0,64302538290.0,1686956920.0,1485137646.0,0,0,2019,2
149859496365.0,31276621327.0,0,68634264247.0,1368240116.0,-1905249304.0,11917351377.0,111179904837.0,3835966280.0,34657591528.0,109169726419.0,2010178418.0,64302538290.0,1686956920.0,1485137646.0,0,0,2019,3
171757269163.0,42066769586.0,0,68634264247.0,1368240116.0,-1905249304.0,11930032133.0,132490545464.0,3835966280.0,34719723699.0,131224805464.0,1265740000.0,64302538290.0,1686956920.0,1485137646.0,0,0,2019,4
171757269163.0,42066769586.0,0,68634264247.0,1368240116.0,-1905249304.0,11930032133.0,132490545464.0,3835966280.0,34719723699.0,131224805464.0,1265740000.0,64302538290.0,1686956920.0,1485137646.0,0,0,2020,1
171757269163.0,42066769586.0,0,68634264247.0,1368240116.0,-1905249304.0,11930032133.0,132490545464.0,3835966280.0,34719723699.0,131224805464.0,1265740000.0,64302538290.0,1686956920.0,1485137646.0,0,0,2020,2
