totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
233246781523.0,26920456329.0,0,54727047841.0,0,1780693393.0,2599637613.0,78796759291.0,39625198211.0,154450022232.0,26260436852.0,52536322439.0,50991326133.0,0,0,0,0,2017,1
236965001483.0,33501468355.0,0,57468441503.0,0,1451088221.0,3926916545.0,89566208912.0,38983400375.0,147398792571.0,36917000233.0,52649208679.0,53848869441.0,0,0,0,0,2017,2
227339897411.0,31975494829.0,0,50737178350.0,0,511363389.0,3229766354.0,79429741451.0,42292344325.0,147910155960.0,27164314789.0,52265426662.0,47873946481.0,0,0,0,0,2017,3
247511766311.0,36217497399.0,0,50674443630.0,0,741331858.0,3251917831.0,98856053493.0,58244094333.0,148655712818.0,45919416904.0,52936636589.0,47853250616.0,0,0,0,0,2017,4
250709735500.0,34945624219.0,0,54573589229.0,0,1213250006.0,2003771763.0,103757075853.0,53359231934.0,146952659647.0,51388285052.0,52368790801.0,51098396661.0,0,650837.0,0,0,2018,1
249507433138.0,34879681805.0,3189583333.0,56569840412.0,0,1465935972.0,2305973175.0,105071143699.0,52473979459.0,144436289439.0,52624579114.0,52446564585.0,51496840646.0,0,-650837.0,0,0,2018,2
246686439870.0,33949946620.0,3158333332.0,58817049080.0,0,930357561.0,3551274609.0,101319792270.0,50167389438.0,145366647600.0,48741484130.0,52578308140.0,53384156019.0,0,0,0,0,2018,3
247898914622.0,33498157986.0,3127083331.0,63332679014.0,0,1616764641.0,1368243094.0,100353022262.0,51243506878.0,147545892360.0,47448362349.0,52904659913.0,58698816261.0,0,0,0,0,2018,4
247393257141.0,32348960387.0,3095833330.0,53658090278.0,0,1137378702.0,3411631537.0,98709986079.0,49672856809.0,148683271062.0,45613803768.0,53096182311.0,48238951610.0,0,0,0,0,2019,1
248777329944.0,31356911258.0,3064583329.0,57979044492.0,0,1337383292.0,1194976890.0,104877632665.0,41056823871.0,143899697279.0,51549353703.0,53328278962.0,53077159647.0,0,0,0,0,2019,2
252511176750.0,30314680134.0,3033333328.0,61166136752.0,0,1872609840.0,1266400804.0,106738869631.0,42215868795.0,145772307119.0,53273294782.0,53465574849.0,55132962821.0,0,0,0,0,2019,3
256577853513.0,29283548832.0,3002083327.0,67517212405.0,0,1860710878.0,2511519870.0,108944835516.0,31869904700.0,147633017997.0,55555239041.0,53389596475.0,61532596591.0,0,0,0,0,2019,4
259880123580.0,28268810045.0,2970833326.0,59565662605.0,0,2523562030.0,600318334.0,109565348358.0,39454021108.0,150314775222.0,56085643540.0,53479704818.0,52003367042.0,0,0,0,0,2020,1
257390730839.0,27566673154.0,2939583325.0,46797583514.0,0,4380851642.0,3772341211.0,104532084273.0,39454021108.0,152858646566.0,50473557233.0,54058527040.0,41429130387.0,0,0,0,0,2020,2
266828115036.0,26573842553.0,2908333324.0,60444429898.0,3947433942.0,3157861389.0,1119857461.0,110811607081.0,37292085031.0,156016507955.0,56613274966.0,54198332115.0,51389167204.0,2375041286.0,0,0,0,2020,3
269426886098.0,25713354580.0,2877083323.0,67970732018.0,1738836200.0,1391154725.0,1750069168.0,112019223418.0,25459758068.0,157407662680.0,57727456704.0,54291766714.0,62655072689.0,-324222710.0,0,0,0,2020,4
262566197805.0,25005039515.0,2845833322.0,56215606390.0,2154880990.0,1831904792.0,2827551039.0,103326630333.0,21943915561.0,159239567472.0,48782246646.0,54544383687.0,50602568687.0,1011194969.0,0,0,0,2021,1
262760596659.0,24140440956.0,2814583321.0,61962264453.0,2235157399.0,1788125919.0,1372115235.0,109202100468.0,18561487671.0,153558496191.0,54425647300.0,54776453168.0,55834791501.0,895848560.0,0,0,0,2021,2
256100243344.0,23282600763.0,2783333320.0,49152220427.0,2763128503.0,2210502803.0,3294156579.0,101560471892.0,21709022713.0,154539771452.0,46547315899.0,55013155993.0,43656449532.0,889090194.0,0,0,0,2021,3
250482119429.0,22432585455.0,2752083319.0,53705336346.0,6235269412.0,4954711979.0,1578570097.0,101787633598.0,17689928569.0,148694485831.0,46598218333.0,55189415265.0,45936597878.0,893065884.0,0,0,0,2021,4
251222404421.0,21585963018.0,2720833318.0,51326368153.0,2745438602.0,2225438602.0,2590086721.0,100296134988.0,12543400701.0,150926269433.0,44872051745.0,55424083243.0,45432440827.0,877872437.0,4566916.0,0,0,2022,1
247424128175.0,21641031409.0,2689583317.0,70469407752.0,2346908576.0,1848439140.0,5114594785.0,103734479602.0,20927356292.0,143689648573.0,48235317366.0,55499162236.0,64391889484.0,857874339.0,-4566916.0,0,0,2022,2
250797647171.0,20782495669.0,2668749983.0,49352448970.0,4563792759.0,3651034207.0,1356644956.0,103456964390.0,34529575580.0,147340682781.0,47777851851.0,55679112539.0,42371822841.0,796035738.0,0,0,0,2022,3
250797647171.0,20782495669.0,2668749983.0,49352448970.0,4563792759.0,3651034207.0,1356644956.0,103456964390.0,34529575580.0,147340682781.0,47777851851.0,55679112539.0,42371822841.0,796035738.0,0,0,0,2022,4
