totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
31068544643384.0,7859578010941.0,401522260477.0,12049368692438.0,3476087663755.0,2935068264904.0,3921381723837.0,6049114164383.0,2216760721249.0,25019430479001.0,5534019542094.0,515094622289.0,6230237376368.0,311243892290.0,13393474209.0,174251757485.0,327110398182.0,2017,1
31955032118295.0,7734784519400.0,400375308488.0,13348261215191.0,3444022345991.0,2922080403930.0,4181877412455.0,7201913619763.0,590906789944.0,24753118498532.0,6712397749306.0,489515870457.0,6807419327845.0,314288377307.0,4023632084.0,108173213914.0,326609969983.0,2017,2
31595714941194.0,7967325768346.0,306415942959.0,13293077820340.0,3223014334435.0,2693903760050.0,3674548797478.0,7567098172016.0,668414723359.0,24028616769178.0,7089478813206.0,477619358810.0,7022778495998.0,313041751008.0,7006245652.0,219632623984.0,298014000449.0,2017,3
34667318837497.0,10290516618864.0,318792479983.0,12350368157140.0,2085821039955.0,1744612719962.0,4021058976634.0,10794261023636.0,963335914164.0,23873057813861.0,10195562827092.0,598698196544.0,6746495866265.0,361296133295.0,5015216618.0,268102046087.0,274949439387.0,2017,4
35328719216070.0,10250026118711.0,315749944072.0,12120502020912.0,3176462892073.0,2701313738808.0,4373067721747.0,9037780154701.0,563392699177.0,26290939061369.0,8441889289285.0,595890865416.0,6633808703800.0,385210648619.0,8555583980.0,1560293768812.0,270260689387.0,2018,1
36183530062338.0,10779725856986.0,315191014155.0,13702480611961.0,3160765705183.0,2666357498655.0,4885749046820.0,9647480149806.0,1343435279374.0,26536049912532.0,8862722162878.0,784757986928.0,7233869770150.0,395470414797.0,17272008785.0,1797452552318.0,243603105068.0,2018,2
34026431394368.0,11306557219755.0,314998628515.0,13735260285149.0,3033968043856.0,2560125311355.0,4320172955926.0,8076222108091.0,630784664818.0,25950209286277.0,7381050047407.0,695172060684.0,7241743387120.0,410134236563.0,11981786169.0,956294678845.0,246268247487.0,2018,3
37366108654179.0,13047771431436.0,317582167662.0,13003707052570.0,2680499625011.0,2299484602646.0,5525845959354.0,11094739362252.0,1522610167671.0,26271369291927.0,10639592009462.0,455147352790.0,6841121640431.0,435817082372.0,13558039918.0,1060047652329.0,215798919361.0,2018,4
38305261792855.0,12772087510017.0,314090358794.0,13189300287807.0,3342782864107.0,2790729116151.0,5353836025138.0,9382030969362.0,1209154406312.0,28923230823493.0,8816669411270.0,565361558092.0,7034297778254.0,472348259477.0,19835521940.0,2126083288960.0,218007911923.0,2019,1
40186475665451.0,12895930014991.0,310594816200.0,14598960549757.0,3549831766256.0,2898738430907.0,5540929744702.0,11252755465246.0,1676491290318.0,28933720200205.0,10816139387760.0,436616077486.0,7585015000599.0,478654208826.0,25355145802.0,3272945064774.0,188821030390.0,2019,2
40101852847756.0,12832612333143.0,570301448654.0,14290900447018.0,3253756149711.0,2690192377294.0,4990634977666.0,12261224601874.0,1043473767363.0,27840628245882.0,11924062277981.0,337162323893.0,7567934476550.0,494141498125.0,27795829812.0,4188147842196.0,93806389962.0,2019,3
44699873386034.0,13743909618601.0,1149630598102.0,14238961478162.0,2649338858483.0,2201515747637.0,4983044403917.0,14968618181670.0,2665194638452.0,29731255204364.0,14442851833360.0,525766348310.0,7558658856714.0,502928809106.0,35838396433.0,5351461260191.0,122992982893.0,2019,4
46073727018989.0,13450030775841.0,1139560570466.0,14153099953575.0,3358259002978.0,2764911978211.0,5733793403343.0,13826962983067.0,1379711866875.0,32246764035922.0,13314973420207.0,511989562860.0,7547288345650.0,555460462969.0,42061538321.0,6149806942796.0,119643482893.0,2020,1
49596809946225.0,13193230198456.0,1122652151828.0,15495233758799.0,3711380577468.0,3071714073426.0,5696221872518.0,17241110573049.0,2176667357252.0,32355699373176.0,16681721259498.0,559389313551.0,8357339161700.0,556761193198.0,37641854799.0,6189353009901.0,182356135696.0,2020,2
50396457516921.0,12845510806937.0,1108791678041.0,15563157998229.0,3777019789971.0,3077140792284.0,5246489877728.0,18704936040491.0,2335881481579.0,31691521476430.0,18164145581085.0,540790459406.0,8296414517093.0,551231227788.0,38257217439.0,6423212089774.0,176301073571.0,2020,3
48432480673629.0,12717306878414.0,1136500988622.0,14424794514944.0,2671876716607.0,2185170012447.0,4905068613616.0,14785358443807.0,2111242815581.0,33647122229822.0,14212646285475.0,572712158332.0,7766620813396.0,545413737797.0,25857854618.0,7316497078307.0,167421748884.0,2020,4
51051210880651.0,12450177265747.0,1131385809125.0,13190270122852.0,3153910222805.0,2575916578653.0,6465943104329.0,17087270259224.0,1197956795582.0,33963940621427.0,16532816332955.0,554453926269.0,7435389686438.0,561074222639.0,12905990201.0,9247097278828.0,162103516784.0,2021,1
53046669029192.0,12101578863690.0,1121816903875.0,15715806166465.0,3493684950239.0,2834789042592.0,6842795582767.0,18671295879023.0,1663036014269.0,34375373150169.0,18127021271173.0,544274607850.0,8861448981220.0,609141818674.0,28072255034.0,9481532928054.0,157817900434.0,2021,2
52067759208240.0,11959423940585.0,1098770435134.0,16194052003559.0,3586603289912.0,2925766998017.0,6380809878105.0,18192841472371.0,2051857098275.0,33874917735869.0,17766091926204.0,426749546167.0,9250304913128.0,600744849695.0,24374567105.0,9038248667322.0,80626092834.0,2021,3
53332403438219.0,11620094589519.0,1086503968330.0,15819036553270.0,2688037023963.0,2196004480636.0,6773071634017.0,17482289188835.0,2348551874348.0,35850114249384.0,17068416995519.0,413872193316.0,9093719773053.0,350376843772.0,23446278323.0,9382354118118.0,75636000000.0,2021,4
52995528231171.0,11378773254293.0,1074915098333.0,13877825823198.0,2764351623836.0,2265518089530.0,7665947194796.0,18018316689141.0,1680858133124.0,34977211542030.0,17607914154548.0,410402534593.0,8253022172432.0,537371734423.0,26168600367.0,10942647333716.0,70663500000.0,2022,1
53842175999663.0,11200238179519.0,1066131193656.0,14930275292637.0,2576057643749.0,2082981126147.0,7096208618612.0,17021656898873.0,4507497088287.0,36820519100790.0,16644210900330.0,377445998543.0,8853615491038.0,642450370625.0,36701642341.0,9701229190460.0,74459700000.0,2022,2
51199903422164.0,10927659925913.0,1061598426429.0,16079491424130.0,2859883167325.0,2298398907051.0,5777310525795.0,17355518040395.0,2867857717514.0,33844385381769.0,16983265249980.0,372252790415.0,9729311781833.0,397162056855.0,49942302240.0,9405653167691.0,71579812500.0,2022,3
51199903422164.0,10927659925913.0,1061598426429.0,16079491424130.0,2859883167325.0,2298398907051.0,5777310525795.0,17355518040395.0,2867857717514.0,33844385381769.0,16983265249980.0,372252790415.0,9729311781833.0,397162056855.0,49942302240.0,9405653167691.0,71579812500.0,2022,4
