totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
3061844048870.0,2482122941553.0,144452746.0,1093235876431.0,68866803598.0,54667756135.0,13686344620.0,1450429845265.0,125538107163.0,1611414203605.0,649373884377.0,801055960888.0,944167668750.0,135923404706.0,21502540162.0,478121590009.0,620357010617.0,2017,1
2912584492223.0,2371285496234.0,200458419.0,810182587721.0,58739147937.0,45544857415.0,14571597949.0,1267109246228.0,105823720320.0,1645475245995.0,553223321050.0,713885925178.0,694413584088.0,133830834233.0,19124801912.0,448390473355.0,536341027860.0,2017,2
2841550744932.0,2253941079373.0,175630755.0,547371553640.0,58642983557.0,45931695493.0,16755863883.0,1149576595547.0,136240920254.0,1691974149385.0,537916661472.0,611659934075.0,430997832067.0,129502406674.0,17311479791.0,418592822664.0,443161006179.0,2017,3
2816250633995.0,2310608825936.0,288303090.0,486276968158.0,58733396856.0,41139330983.0,17591594668.0,1176612989953.0,152133892668.0,1639637644042.0,617345375145.0,559267614808.0,386179235006.0,124767001851.0,15691331899.0,397115328865.0,391816371622.0,2017,4
2750508094583.0,2251455672493.0,437937790.0,489218249955.0,14488423661.0,11133070790.0,18736768182.0,1097825807669.0,104206263890.0,1652682286914.0,538719242156.0,559106565513.0,402117231252.0,117902011055.0,14810769070.0,389312670000.0,389333852176.0,2018,1
2754502070620.0,2265418663282.0,383943457.0,529869920421.0,16047767725.0,12464077837.0,18910925960.0,1089716933822.0,123900445846.0,1664785136798.0,524530444323.0,565186489499.0,432335664441.0,119833934395.0,14503164776.0,379605198032.0,393370555327.0,2018,2
2808769343766.0,2241634579685.0,329949124.0,537732677934.0,39094350130.0,30829703016.0,19161842660.0,1112852726864.0,177696136473.0,1695916616902.0,547923506947.0,564929219917.0,420718289221.0,120017958128.0,13473143899.0,368859700222.0,389004660236.0,2018,3
2720304889217.0,2205204867789.0,275954791.0,516527835843.0,45621211382.0,33342357865.0,19406419454.0,1060082622247.0,167753672919.0,1660222266970.0,527543359601.0,532539262646.0,403679417971.0,119883077784.0,14050438848.0,348679568283.0,359972660566.0,2018,4
2647461411735.0,2100797427322.0,325000006.0,534042012464.0,40109434139.0,32037162853.0,21101420783.0,955208083010.0,208369788472.0,1692253328725.0,494768453119.0,460439629891.0,416510536482.0,118950686520.0,12636844554.0,322699171802.0,287577256034.0,2019,1
2504610474358.0,2044965630238.0,274583338.0,524183321203.0,36048859773.0,28750343186.0,20207509013.0,784575957342.0,183071193671.0,1720034517016.0,377038732890.0,407537224452.0,411746504749.0,116503550181.0,10999380900.0,266959568711.0,234622718674.0,2019,2
2476437726064.0,1848265924819.0,226487442.0,492150574279.0,41437640188.0,32982714282.0,18754926561.0,723397096897.0,298036721466.0,1753040629167.0,350401484988.0,372995611909.0,390333412375.0,106681886022.0,9101364322.0,233817166753.0,200902807084.0,2019,3
2629597766779.0,1847361673935.0,181904106.0,440855871545.0,21419060266.0,14767172751.0,15738638172.0,934411894046.0,226543255916.0,1695185872733.0,446035612494.0,488376281552.0,347747283125.0,98329285144.0,9642157515.0,252253007144.0,319551271441.0,2019,4
2451830532328.0,1751310692689.0,137320770.0,365887198991.0,-16500126353.0,-16176672075.0,16502561825.0,773643931403.0,230202654592.0,1678186600925.0,320564809611.0,453079121792.0,316415612189.0,99035201396.0,11198203725.0,199523282284.0,291983342378.0,2020,1
2305187687966.0,1661243610669.0,99820763.0,155848100026.0,-111268448374.0,-110229384410.0,14194252229.0,738425535415.0,208221622650.0,1566762152551.0,330622648955.0,407802886460.0,219764960844.0,96502070768.0,9517938383.0,181009087600.0,262844550358.0,2020,2
2126899099337.0,1537365226240.0,62320772.0,221993794855.0,-57144437069.0,-56169071516.0,13631691349.0,617437383855.0,152925441254.0,1509461715482.0,264384669978.0,353052713877.0,243022137805.0,93715785760.0,8271729519.0,188818915014.0,211129147612.0,2020,3
2058333627772.0,1368125824562.0,37320770.0,262335807848.0,-25802114177.0,-24446804376.0,12995806006.0,574350143680.0,241166832227.0,1483983484092.0,262592666252.0,311757477428.0,256826051484.0,89133626023.0,7059585393.0,172274541971.0,169802382629.0,2020,4
1951874884910.0,1197715285947.0,25358419.0,222675050089.0,-30009222623.0,-29397931525.0,12245209539.0,498311045259.0,330137270415.0,1453563839651.0,227366446820.0,270944598439.0,214942003616.0,75551028811.0,5844531705.0,158245767622.0,131788907247.0,2021,1
1830650283120.0,1098166244502.0,17025085.0,150106226446.0,-66623419081.0,-65743163771.0,11989751338.0,443865862550.0,347243089476.0,1386784420570.0,209665492103.0,234200370447.0,177616017364.0,67624012348.0,5002062173.0,148620886226.0,99777142266.0,2021,2
1697485105609.0,1036429741130.0,8691751.0,22881769607.0,-91222245157.0,-90276968339.0,11693592340.0,402078930196.0,300861216632.0,1295406175413.0,191796210092.0,210282720104.0,99464919006.0,67335183316.0,4018742268.0,131907368437.0,75989572923.0,2021,3
1571256275160.0,726698277102.0,358417.0,89016899613.0,-88895198666.0,-88170639171.0,9129075861.0,365479424566.0,329223238445.0,1205776850594.0,226004826195.0,139474598371.0,124333724895.0,63616160551.0,3453840109.0,130848531657.0,57767890314.0,2021,4
1470182133324.0,707870357515.0,0,164460733210.0,12490958963.0,12253595257.0,8431768026.0,251654769270.0,100475318685.0,1218527364054.0,147159706088.0,104495063182.0,128486954782.0,45804987253.0,2711865406.0,55314756192.0,26048402081.0,2022,1
1504371315419.0,667629115349.0,0,246829064173.0,58284271028.0,56356008091.0,8718014067.0,230557792986.0,173036729721.0,1273813522433.0,141565062954.0,88992730032.0,163077827731.0,44473556715.0,1109281460.0,40706680635.0,10897379150.0,2022,2
1690789291044.0,778010707305.0,0,353159746911.0,60496964610.0,59852232510.0,9456663684.0,356478804001.0,165028944747.0,1334310487043.0,147473223541.0,209005580460.0,262832607754.0,47225783215.0,1580043031.0,56103480864.0,99064402474.0,2022,3
1690789291044.0,778010707305.0,0,353159746911.0,60496964610.0,59852232510.0,9456663684.0,356478804001.0,165028944747.0,1334310487043.0,147473223541.0,209005580460.0,262832607754.0,47225783215.0,1580043031.0,56103480864.0,99064402474.0,2022,4
