totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
534724235475.0,37794301726.0,7372097307.0,142664993271.0,7789115779.0,6063297227.0,142450782934.0,180143289422.0,78064981540.0,354451083716.0,180115897422.0,27392000.0,93583706361.0,1887916310.0,632486769.0,53051404730.0,27392000.0,2017,1
557060729713.0,45899591219.0,7289972136.0,189213022716.0,19893996075.0,15599355535.0,161903380018.0,214227731465.0,80390877527.0,342703135911.0,213543819982.0,683911483.0,137965827546.0,1937281609.0,563558955.0,34241593090.0,27392000.0,2017,2
556690707124.0,49546126596.0,7206330298.0,184612610512.0,8994474908.0,6851843486.0,155122239335.0,203443433778.0,80504344323.0,353117411009.0,203416041778.0,27392000.0,130474240074.0,2391018158.0,455831722.0,43248528540.0,27392000.0,2017,3
611139696434.0,49715712765.0,7253172774.0,240976734473.0,14521699595.0,12061781943.0,176186175069.0,266894111946.0,89962042114.0,344115722151.0,266866719946.0,27392000.0,176675636518.0,2266544899.0,-856340937.0,58999599930.0,27392000.0,2017,4
535401042238.0,47531236782.0,7163696137.0,136819268695.0,6324221954.0,4379305389.0,174143511548.0,186860205875.0,31634768167.0,348410974026.0,186832813875.0,27392000.0,97644114651.0,2345502620.0,775229399.0,65745224295.0,27392000.0,2018,1
551894858116.0,46872067687.0,7073628312.0,184357084084.0,12066679752.0,9249443046.0,185366446693.0,210480345487.0,44766625106.0,341284650292.0,209947920149.0,532425338.0,138281255171.0,2524172031.0,674043376.0,59444708794.0,27392000.0,2018,2
540162000148.0,44851440261.0,6983856081.0,154168027479.0,8130228682.0,5345351476.0,169335061927.0,194684753078.0,27471722576.0,345347384733.0,193863627508.0,821125570.0,112314361491.0,115750749.0,78892694.0,53721796119.0,27392000.0,2018,3
565241726978.0,42766462518.0,6894083850.0,222031945793.0,10855721835.0,8312246809.0,143366362207.0,224857177566.0,53215802980.0,340254687075.0,224000112689.0,857064877.0,165220361107.0,4790349382.0,972761415.0,73079667749.0,27392000.0,2018,4
491414250696.0,40527408754.0,6804311619.0,99407877840.0,3435609992.0,2067828739.0,131161545143.0,150595781393.0,34243594417.0,340688606966.0,149172528761.0,1423252632.0,73455544512.0,2429472378.0,889008935.0,57413023529.0,27392000.0,2019,1
554575524240.0,38430253167.0,6714539388.0,176691024183.0,6666072072.0,4503144962.0,150663321196.0,224428716452.0,84050453930.0,330016945451.0,222612208581.0,1816507871.0,128803787962.0,2394949300.0,826832721.0,50818586623.0,27392000.0,2019,2
527981388112.0,36537757160.0,6624767157.0,145611177253.0,2982516999.0,1681523122.0,140293891052.0,197396502147.0,36740086583.0,330455023628.0,195266130736.0,2130371411.0,108114195997.0,2000653040.0,632670048.0,50346184169.0,27392000.0,2019,3
542887767542.0,34308748791.0,6534994926.0,187356191968.0,7453187850.0,5250600677.0,133176129634.0,208281566488.0,56884206252.0,334476338717.0,206381098096.0,1900468392.0,136228526491.0,2632075798.0,852254335.0,57241417962.0,27392000.0,2019,4
528490502107.0,33047625089.0,6445222695.0,84256146345.0,2370588099.0,1318574471.0,146750869407.0,189261168307.0,27320030638.0,339099471463.0,187184291600.0,2076876707.0,57995101119.0,2553504931.0,939965778.0,72107484909.0,27392000.0,2020,1
513209977516.0,30836497777.0,6355450464.0,128091390886.0,4694020154.0,3349979172.0,157189365972.0,184160158441.0,63104440622.0,328919956738.0,181955072975.0,2205085466.0,90448077462.0,2031582850.0,999549712.0,56080975067.0,27392000.0,2020,2
478626134385.0,28696764446.0,6265678233.0,132346471260.0,3978837579.0,2903151913.0,149145047683.0,147186312304.0,72462766930.0,331309959744.0,144981226838.0,2205085466.0,96397969600.0,2147567994.0,676647636.0,35088586724.0,27392000.0,2020,3
507450283564.0,27658939191.0,6179453130.0,163818448040.0,6504068650.0,5842392614.0,129073489495.0,169352573369.0,105998414772.0,337967847858.0,167830680542.0,1521892827.0,111830275787.0,2251723417.0,564665373.0,38265535376.0,27392000.0,2020,4
470112276949.0,26641077430.0,6089680899.0,109897230001.0,2962527115.0,1598861465.0,112683768875.0,130858550101.0,88343286457.0,339123864510.0,128729376027.0,2129174074.0,80229655565.0,2562120026.0,370751008.0,39310627094.0,27392000.0,2021,1
516447488727.0,24996133426.0,5996361540.0,137693261284.0,4597761342.0,2911655599.0,142834447120.0,193435305830.0,98139187170.0,322882320560.0,191369203496.0,2066102334.0,95663021828.0,2677443877.0,461038087.0,38319967801.0,27392000.0,2021,2
480606317338.0,23084018333.0,5906589309.0,121517673727.0,6160223925.0,5272157503.0,134385091455.0,152653818680.0,68175845647.0,327822636321.0,150187716346.0,2466102334.0,85228312076.0,2320030744.0,430755110.0,38051374465.0,27392000.0,2021,3
472540218525.0,22968501926.0,5823911334.0,181182293276.0,6603965883.0,3945341276.0,124825533177.0,140112991431.0,110416613866.0,332297364757.0,136786851551.0,3326139880.0,128808861237.0,2525758214.0,390149048.0,26555115836.0,27392000.0,2021,4
485097278620.0,21238269982.0,5743013615.0,91966447082.0,2850750452.0,2209565066.0,156086907902.0,151407998422.0,86817340814.0,333559417860.0,148086858542.0,3321139880.0,68716989917.0,2308308795.0,282329337.0,35170720811.0,27392000.0,2022,1
507032233576.0,19377968195.0,5717975225.0,135939001562.0,2310217478.0,1144639829.0,169387972839.0,185904452394.0,71199954072.0,320997918845.0,182409129814.0,3495322580.0,99118299809.0,2349719309.0,396801134.0,37863353834.0,27392000.0,2022,2
466919227286.0,17902151593.0,5692936835.0,129877881228.0,4583614994.0,3983056168.0,149698767663.0,142047991390.0,59014014835.0,323844192448.0,138502068810.0,3545922580.0,91393978145.0,435872232.0,329844429.0,29292089518.0,27392000.0,2022,3
466919227286.0,17902151593.0,5692936835.0,129877881228.0,4583614994.0,3983056168.0,149698767663.0,142047991390.0,59014014835.0,323844192448.0,138502068810.0,3545922580.0,91393978145.0,435872232.0,329844429.0,29292089518.0,27392000.0,2022,4
