totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
669398254145.0,57067791729.0,79486359376.0,193231528985.0,3902375514.0,3420095954.0,758670571.0,314967957552.0,126304847306.0,354430296593.0,306582385642.0,8385571910.0,171096659455.0,3262660324.0,0,2121969194.0,6591420000.0,2017,1
650848052631.0,55863433738.0,79079047729.0,173073753287.0,21072448438.0,16949856249.0,882845597.0,301932997338.0,140443006306.0,348915055293.0,293957335694.0,7975661644.0,147237114915.0,3258346367.0,0,1414646129.0,6591420000.0,2017,2
695892314815.0,57433469244.0,19039216685.0,234703646469.0,5114307727.0,4164405820.0,9945000.0,342912971371.0,154712327215.0,352979343444.0,333850044343.0,9062927028.0,211608460084.0,2331503197.0,7706889.0,803323064.0,6959420000.0,2017,3
644961556630.0,57342444148.0,19030134151.0,263542794661.0,21076288340.0,20038594305.0,877500.0,272436582340.0,156622988924.0,372524974290.0,269606375462.0,2830206878.0,242849972652.0,2924977086.0,9869992.0,96000000.0,344000000.0,2017,4
676970356290.0,57545280757.0,18969662728.0,173111556513.0,5222062405.0,4330029171.0,1813500.0,300743468851.0,157532690296.0,376226887439.0,297759320210.0,2984148641.0,152475828845.0,2962309635.0,12715253.0,2824889940.0,560000000.0,2018,1
671247840098.0,56750126492.0,18909191305.0,256824802146.0,36811238067.0,28815620025.0,1813500.0,343107765341.0,219241256657.0,328140074757.0,340447213907.0,2660551434.0,232361626884.0,2923795216.0,15330694.0,1827259959.0,629000000.0,2018,2
662722771465.0,56077601935.0,18848965563.0,226659429831.0,7478093303.0,5927268816.0,1813500.0,328668664490.0,191953507084.0,334054106975.0,326733113056.0,1935551434.0,202320880779.0,2990628832.0,14473125.0,913629978.0,614000000.0,2018,3
627429120320.0,56295762357.0,18788494140.0,258389825668.0,12004961421.0,12662160209.0,70163500.0,280788150394.0,172124412050.0,346640969926.0,279043598960.0,1744551434.0,235304224963.0,3010424412.0,13477200.0,156000000.0,443000000.0,2018,4
657262261864.0,59680022783.0,18728022717.0,171848678034.0,6469600012.0,5137801951.0,0,306625860106.0,199285657484.0,350636401758.0,304731308672.0,1894551434.0,149616815667.0,2962450154.0,12512805.0,117000000.0,443000000.0,2019,1
685256994087.0,65596290388.0,17407503623.0,225938575828.0,13776332990.0,11160419278.0,0,332171617836.0,238388647961.0,353085376251.0,330413891752.0,1757726084.0,204142324751.0,3372528170.0,11924334.0,156000000.0,365000000.0,2019,2
695865423492.0,64125655946.0,17427745018.0,231121930066.0,7661615055.0,6085754776.0,0,336681693855.0,183047795323.0,359183729637.0,335101142421.0,1580551434.0,207287081569.0,3183036657.0,9560217.0,45000000.0,165000000.0,2019,3
