totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
170222149744.0,24076430427.0,201013635.0,55831784621.0,277343556.0,-1382011809.0,25360003493.0,91982422118.0,22485973230.0,78239727626.0,90565892118.0,1416530000.0,47289998941.0,647372642.0,1351618180.0,76891774953.0,1416530000.0,2017,1
158701123228.0,23761648313.0,190567533.0,34981949542.0,1311857172.0,-845011815.0,43704766744.0,80543032886.0,13095048298.0,78158090342.0,80543032886.0,0,24952695383.0,685544697.0,1300576773.0,42442019756.0,0,2017,2
301750001057.0,23908644070.0,180121431.0,160849490396.0,6353252067.0,3568318432.0,49186436787.0,217986982354.0,21326709610.0,83763018703.0,217986982354.0,0,137618305455.0,626215775.0,2248306170.0,77052077916.0,0,2017,3
427984592759.0,23475429610.0,169675329.0,179680510226.0,8279305586.0,6923956968.0,77128630469.0,337684105469.0,32577119980.0,90300487290.0,337684105469.0,0,162401877991.0,613242561.0,2045348127.0,127011440090.0,0,2017,4
405964180032.0,23043248513.0,159229227.0,72763362001.0,-386668891.0,-2111064912.0,39521132025.0,316847340817.0,23332699940.0,89116839215.0,316847340817.0,0,62717663835.0,627800199.0,2056927848.0,151306978921.0,0,2018,1
484771012428.0,23205036097.0,148783125.0,111054737674.0,2141699402.0,961762724.0,84914988987.0,401226287270.0,20262731561.0,83544725158.0,401226287270.0,0,96389859974.0,634242518.0,3553038404.0,150523245709.0,0,2018,2
456164617654.0,22634838733.0,138337023.0,135503271072.0,10124949051.0,7185649284.0,53053093151.0,364841815427.0,27075262435.0,91322802227.0,364841815427.0,0,114588881638.0,640788920.0,3897998681.0,186573451885.0,0,2018,3
473615634374.0,22019715956.0,127890921.0,171325509363.0,4152054514.0,2217808179.0,57834725326.0,379628057062.0,49796478169.0,93987577312.0,379628057062.0,0,154702011969.0,625568879.0,3942237174.0,178992364787.0,0,2018,4
417222899338.0,21573912937.0,117444819.0,48164162700.0,-5615211436.0,-6629293466.0,115134524565.0,329876287091.0,72735180124.0,87346612247.0,329876287091.0,0,40513465804.0,611249121.0,2735526529.0,112639378440.0,0,2019,1
388702680548.0,23446177003.0,0,31379256053.0,-4960196138.0,-4885055790.0,162186285084.0,314638433675.0,25371907045.0,74064246873.0,314638433675.0,0,29342846827.0,619322036.0,3077386624.0,131429070550.0,0,2019,2
459543035048.0,22855334705.0,96552615.0,180532045830.0,10764359641.0,9991724542.0,186440227011.0,375020976140.0,13148945661.0,84522058908.0,375020976140.0,0,159645094031.0,677088400.0,2914736366.0,127941298426.0,0,2019,3
