totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
252361635514.0,115113463239.0,4999030.0,42014407216.0,-4412428312.0,-4704006927.0,1516126269.0,82398626371.0,16859769148.0,169963009143.0,61771210785.0,20627415586.0,20248738737.0,2681809270.0,228102734.0,6285549426.0,15831293513.0,2017,1
252735047437.0,113823222114.0,4999030.0,43187637687.0,3801361713.0,3360874502.0,1515947498.0,79143694587.0,25556051514.0,173591352850.0,59211140851.0,19932553736.0,19007381124.0,2696449671.0,410807753.0,3702299426.0,15831293513.0,2017,2
250393548216.0,112862523166.0,908525.0,44007150952.0,3013465068.0,2992031007.0,1423288581.0,73991810702.0,26387378844.0,176401737514.0,53519745116.0,20472065586.0,19444564687.0,2706721366.0,94916782.0,1154049426.0,15831293513.0,2017,3
243322050691.0,110917179113.0,0,25002281230.0,-5045958496.0,-5529430683.0,1312820294.0,72318129008.0,20825040361.0,171003921683.0,53563577022.0,18754551986.0,12589861892.0,2746357123.0,96033872.0,1707813026.0,14129279913.0,2017,4
244487808000.0,110406393000.0,0,32036130640.0,-1035403717.0,-1237300259.0,1333524000.0,77539801000.0,20633262607.0,166948007000.0,59524487000.0,18015314000.0,14752849644.0,2690488837.0,35935723.0,1175458000.0,14129280000.0,2018,1
239523201566.0,108763967971.0,0,37585005253.0,6125062080.0,5838070639.0,1380934824.0,66529671753.0,22131193111.0,172993529813.0,48837522989.0,17692148764.0,16321339020.0,2715147729.0,31859433.0,939145300.0,14052342613.0,2018,2
238712678491.0,105156956073.0,0,43361270402.0,6125062080.0,4144632083.0,1419319639.0,61422327831.0,22131193111.0,177290350660.0,45338883917.0,16083443914.0,19323970595.0,2715147729.0,22568044.0,589958000.0,14129279913.0,2018,3
237568697259.0,101352545056.0,0,27691545108.0,6125062080.0,144878181.0,1420933444.0,60215659180.0,22131193111.0,177353038079.0,44226888917.0,15988770263.0,15067790062.0,2715147729.0,14247603.0,435645300.0,14052342613.0,2018,4
239272248209.0,98811749659.0,0,29388612348.0,-322261592.0,-722863988.0,1435939035.0,62762373174.0,20480151589.0,176509875035.0,46773602911.0,15988770263.0,14252211913.0,2567149773.0,8944930.0,86458000.0,14052342613.0,2019,1
238299786020.0,96304017026.0,0,37438008123.0,-25550066.0,-902824550.0,1451403227.0,62677914479.0,30937330890.0,175621871541.0,46657144216.0,16020770263.0,17122725574.0,2570396426.0,3361143.0,0,14052342613.0,2019,2
240472163850.0,93819313876.0,0,42635832307.0,3902368615.0,2881153829.0,1555677937.0,61894374637.0,20847099223.0,178577789213.0,45905604374.0,15988770263.0,18912091155.0,2458312084.0,0,0,14052342613.0,2019,3
232446329005.0,91698254252.0,0,21006510830.0,3954679610.0,3206653803.0,1436408349.0,50734439136.0,18956889333.0,181711889869.0,34745668873.0,15988770263.0,12057932007.0,2481059624.0,0,0,14052342613.0,2019,4
228664074954.0,89347349444.0,0,20438793487.0,-1132997636.0,-1378534327.0,1374885554.0,50019093971.0,16375007088.0,178644980983.0,33998323708.0,16020770263.0,12062083702.0,2473204808.0,0,0,14052342613.0,2020,1
227667094439.0,86920229348.0,0,13287638047.0,-6599139143.0,-6523519625.0,1148817019.0,55602490357.0,19421266703.0,172064604082.0,39581720094.0,16020770263.0,8667375505.0,2427120096.0,0,0,14052342613.0,2020,2
228762525052.0,84633834300.0,0,22313162100.0,55667000.0,-206823886.0,999030825.0,56858627049.0,27044048680.0,171903898003.0,40837856786.0,16020770263.0,11593678948.0,2372455048.0,0,0,14052342613.0,2020,3
